gene_symbol	direction	rank_in_direction	delta
DKK1	sensitivity	1	1.199343639
IFI27	sensitivity	2	1.107925544
TIMP3	sensitivity	3	1.065187184
COL1A1	sensitivity	4	1.062469345
ANKRD1	sensitivity	5	0.9427818422
COL4A2	sensitivity	6	0.9380313082
CDC42EP5	sensitivity	7	0.9373698725
RBP1	sensitivity	8	0.9324869657
COL4A1	sensitivity	9	0.9292007808
IGFBP2	sensitivity	10	0.9050719374
PSG5	sensitivity	11	0.8892519118
LGALS4	sensitivity	12	0.8732033692
CLIC3	sensitivity	13	0.868278768
IFI6	sensitivity	14	0.8505315911
FSTL1	sensitivity	15	0.8445440447
SPOCD1	sensitivity	16	0.8393574172
CEMIP	sensitivity	17	0.8356154979
POSTN	sensitivity	18	0.8323479027
TNNC1	sensitivity	19	0.8197803295
SULF2	sensitivity	20	0.8187942083
RNASE1	sensitivity	21	0.810581835
CD55	sensitivity	22	0.8075243179
HSPG2	sensitivity	23	0.7952981587
PSG4	sensitivity	24	0.7888045138
CDH11	sensitivity	25	0.7878507491
SLPI	sensitivity	26	0.7707270846
COL3A1	sensitivity	27	0.7639596271
LYPD6B	sensitivity	28	0.760876957
BAMBI	sensitivity	29	0.7599335123
GOLGA8A	sensitivity	30	0.7567315816
MAGEA4	resistance	1	-1.089795507
MAGEA6	resistance	2	-0.9981043613
CPE	resistance	3	-0.9943352753
MT1E	resistance	4	-0.8330707239
PEG10	resistance	5	-0.8028187277
ZNF595	resistance	6	-0.7643677245
MAGEA3	resistance	7	-0.7386715377
SNCA	resistance	8	-0.7090472069
MT2A	resistance	9	-0.6876866566
TUSC3	resistance	10	-0.6799378017
FABP5	resistance	11	-0.6684232757
TM4SF18	resistance	12	-0.6659645059
MDK	resistance	13	-0.6629513667
SFN	resistance	14	-0.6541871442
RRAGD	resistance	15	-0.6407766197
AKR1C3	resistance	16	-0.6340635867
SLC38A5	resistance	17	-0.632711652
CTAG2	resistance	18	-0.6320664637
MAGEA1	resistance	19	-0.6319305096
SGCE	resistance	20	-0.6304409314
CSRP2	resistance	21	-0.6189940406
CALCA	resistance	22	-0.6188740928
TM4SF1	resistance	23	-0.6177355948
MGST1	resistance	24	-0.614919512
PLAU	resistance	25	-0.61126447
LDOC1	resistance	26	-0.6095598042
ELAPOR2	resistance	27	-0.6083139698
UCP2	resistance	28	-0.6019800734
CAMK1	resistance	29	-0.599771996
S100A2	resistance	30	-0.5966114174
