gene_symbol	direction	rank_in_direction	delta
SPARC	sensitivity	1	2.737822795
S100B	sensitivity	2	2.600111793
GYPC	sensitivity	3	2.455997608
EMP3	sensitivity	4	2.445172295
MIA	sensitivity	5	2.412395088
PLAT	sensitivity	6	2.360650829
SRPX	sensitivity	7	2.335700705
VIM	sensitivity	8	2.247058665
SOX10	sensitivity	9	2.203082547
SERPINE2	sensitivity	10	2.158473902
DCT	sensitivity	11	2.141146429
PLP1	sensitivity	12	2.096681828
FKBP10	sensitivity	13	2.095515448
CAVIN3	sensitivity	14	2.038748608
ITGB3	sensitivity	15	2.036746732
HMGA2	sensitivity	16	2.03043352
LGALS1	sensitivity	17	2.024745988
UCN2	sensitivity	18	2.012117107
TRPV2	sensitivity	19	2.007256604
GDF15	sensitivity	20	1.940937493
PMEL	sensitivity	21	1.926224611
BCL2A1	sensitivity	22	1.925654575
TGM2	sensitivity	23	1.897648119
FOSL1	sensitivity	24	1.872758881
TYR	sensitivity	25	1.841130551
MMP1	sensitivity	26	1.801490345
FXYD5	sensitivity	27	1.792656381
COL9A3	sensitivity	28	1.787820216
GNG11	sensitivity	29	1.781891691
MMP14	sensitivity	30	1.777497988
CD24	resistance	1	-2.535590975
ASS1	resistance	2	-2.502405585
ELF3	resistance	3	-2.038510706
SLPI	resistance	4	-2.013152043
UCHL1	resistance	5	-2.004063359
S100A14	resistance	6	-1.959311116
SPINT2	resistance	7	-1.853818066
GLUL	resistance	8	-1.825482783
GPX2	resistance	9	-1.824520408
RAB25	resistance	10	-1.80366071
TACSTD2	resistance	11	-1.779160303
TRIM29	resistance	12	-1.742492535
IRF6	resistance	13	-1.737519418
KRT19	resistance	14	-1.698690135
ACKR3	resistance	15	-1.689343315
SCNN1A	resistance	16	-1.673206911
S100A9	resistance	17	-1.636965603
CRABP2	resistance	18	-1.624730742
CLDN7	resistance	19	-1.60182868
CLDN4	resistance	20	-1.598951426
CDH1	resistance	21	-1.587594037
SPINT1	resistance	22	-1.571445095
KCNK1	resistance	23	-1.567918978
CLU	resistance	24	-1.563661776
CACNG4	resistance	25	-1.562415328
SYT7	resistance	26	-1.55536427
DSP	resistance	27	-1.519867024
ST14	resistance	28	-1.510130797
PBX1	resistance	29	-1.508101482
CKMT1B	resistance	30	-1.506513253
