gene_symbol	direction	rank_in_direction	delta
SLC43A3	sensitivity	1	0.9843116027
IFITM1	sensitivity	2	0.8995736757
CD74	sensitivity	3	0.8304642877
XAGE1A	sensitivity	4	0.7825609565
BCAT1	sensitivity	5	0.7573667348
XAGE1B	sensitivity	6	0.7514684731
NGFR	sensitivity	7	0.7172930834
IL1B	sensitivity	8	0.71593272
PLCB2	sensitivity	9	0.6927025882
H1-0	sensitivity	10	0.6744404332
PDLIM4	sensitivity	11	0.6725155051
SLC38A5	sensitivity	12	0.6691400683
TNC	sensitivity	13	0.6575075796
COL16A1	sensitivity	14	0.6564264794
CXCL3	sensitivity	15	0.6479482147
MT1E	sensitivity	16	0.6465963439
NLRP1	sensitivity	17	0.6402430455
HLA-DRA	sensitivity	18	0.621929512
TMEM98	sensitivity	19	0.6194727477
MDFI	sensitivity	20	0.6166651528
CXCL1	sensitivity	21	0.6128754055
IL1A	sensitivity	22	0.612591781
HGF	sensitivity	23	0.5955127746
OAF	sensitivity	24	0.556674271
LCN2	sensitivity	25	0.5552249054
HMGA2	sensitivity	26	0.5471139371
VILL	sensitivity	27	0.5447780517
CCND2	sensitivity	28	0.5434448539
CDC42EP5	sensitivity	29	0.5406211219
KRT14	sensitivity	30	0.5215826055
SPP1	resistance	1	-1.005898922
MGST1	resistance	2	-0.9627935489
AKR1C1	resistance	3	-0.910562759
AKR1B10	resistance	4	-0.8567518946
CACNG4	resistance	5	-0.8288024114
CD24	resistance	6	-0.8088074171
BHMT2	resistance	7	-0.7816065743
AKR1C2	resistance	8	-0.7740864121
HMOX1	resistance	9	-0.7247563869
EEF1A2	resistance	10	-0.7128889937
ABCC2	resistance	11	-0.7120472873
AKR1C3	resistance	12	-0.7064136089
NUPR1	resistance	13	-0.696565118
QPCT	resistance	14	-0.6785692302
LCP1	resistance	15	-0.6585848982
CES1	resistance	16	-0.6416060468
AKR1B1	resistance	17	-0.6394850997
HSD17B14	resistance	18	-0.6157743436
SGCE	resistance	19	-0.6116020684
ACKR3	resistance	20	-0.6007032562
TLCD4	resistance	21	-0.5923896793
ABCC3	resistance	22	-0.5919203283
GPX3	resistance	23	-0.5900229431
RAB32	resistance	24	-0.5884889879
PEG10	resistance	25	-0.5866356165
SPOCK1	resistance	26	-0.5865848824
EID3	resistance	27	-0.5863200323
AMBP	resistance	28	-0.5859312286
GNAL	resistance	29	-0.5848527672
SAT1	resistance	30	-0.5821915453
