gene_symbol	direction	rank_in_direction	delta
PLAU	sensitivity	1	3.652025614
C19ORF33	sensitivity	2	3.412204978
LAMC2	sensitivity	3	3.362810336
TGFBI	sensitivity	4	3.229008335
TINAGL1	sensitivity	5	3.000312069
KRT17	sensitivity	6	2.923135504
SERPINE1	sensitivity	7	2.913413921
F3	sensitivity	8	2.904369143
S100A2	sensitivity	9	2.834559166
C3	sensitivity	10	2.824407382
SAA1	sensitivity	11	2.817196978
CCN1	sensitivity	12	2.800861111
IFI27	sensitivity	13	2.798328722
LCN2	sensitivity	14	2.774966669
TGM2	sensitivity	15	2.761890505
AXL	sensitivity	16	2.759307356
EFEMP1	sensitivity	17	2.71693932
IL32	sensitivity	18	2.700395592
CAV1	sensitivity	19	2.669972134
TACSTD2	sensitivity	20	2.54062176
EGFR	sensitivity	21	2.529646773
LAMB3	sensitivity	22	2.515737756
CST6	sensitivity	23	2.514103077
ANXA3	sensitivity	24	2.500691151
IL18	sensitivity	25	2.491604716
CLDN1	sensitivity	26	2.471360693
KRT7	sensitivity	27	2.428475562
ANXA1	sensitivity	28	2.411365954
THBS1	sensitivity	29	2.400520346
CAV2	sensitivity	30	2.354787964
HES6	resistance	1	-1.902987449
GJB1	resistance	2	-1.828193377
TFF3	resistance	3	-1.820932889
IGFBP2	resistance	4	-1.774929954
PODXL2	resistance	5	-1.726472295
S100B	resistance	6	-1.715751858
VGF	resistance	7	-1.693392072
SYP	resistance	8	-1.642865595
IGFBP5	resistance	9	-1.622090388
LEF1	resistance	10	-1.558769481
CITED1	resistance	11	-1.517936238
GSTA4	resistance	12	-1.50858316
SELENBP1	resistance	13	-1.501311712
GNG4	resistance	14	-1.475163849
DNAJC12	resistance	15	-1.456760792
ELAPOR1	resistance	16	-1.454141032
GPM6B	resistance	17	-1.45315012
TMSB15A	resistance	18	-1.444153789
APOD	resistance	19	-1.424805275
RRAGD	resistance	20	-1.421471176
TUBB2B	resistance	21	-1.418851734
MCF2L	resistance	22	-1.416553689
JAM3	resistance	23	-1.413781786
KIF5C	resistance	24	-1.404742256
ID2	resistance	25	-1.400320292
BAMBI	resistance	26	-1.384690396
DDC	resistance	27	-1.373455626
PLP1	resistance	28	-1.370144927
CHGA	resistance	29	-1.367416243
BEX1	resistance	30	-1.364504922
