gene_symbol	direction	rank_in_direction	delta
ANXA8	sensitivity	1	1.032243336
ANXA8L1	sensitivity	2	0.9374947799
FOSB	sensitivity	3	0.8949494314
PSG5	sensitivity	4	0.8658455737
PYCARD	sensitivity	5	0.855495172
DKK1	sensitivity	6	0.84369874
CYBRD1	sensitivity	7	0.7766422667
FOS	sensitivity	8	0.7609284734
THBS1	sensitivity	9	0.7382754413
KRT5	sensitivity	10	0.7272128109
CCN5	sensitivity	11	0.7132361042
SLC38A5	sensitivity	12	0.7118975281
GSTP1	sensitivity	13	0.7022708177
ADIRF	sensitivity	14	0.70063977
KRT6A	sensitivity	15	0.6973266496
TPM2	sensitivity	16	0.6635700358
CAVIN2	sensitivity	17	0.6612541404
CRYAB	sensitivity	18	0.6606224622
ALDH3A1	sensitivity	19	0.6604771424
LHFPL6	sensitivity	20	0.650188122
OLR1	sensitivity	21	0.6472439589
VGLL3	sensitivity	22	0.6453589946
COL3A1	sensitivity	23	0.6417112518
ABI3BP	sensitivity	24	0.6408601528
EFEMP1	sensitivity	25	0.6339433174
HLA-A	sensitivity	26	0.6309532596
ECM1	sensitivity	27	0.6119170098
SPON2	sensitivity	28	0.6100646965
PDPN	sensitivity	29	0.6064370759
LAYN	sensitivity	30	0.6005103505
F2RL1	resistance	1	-0.8491018449
FABP6	resistance	2	-0.7718160028
NRP1	resistance	3	-0.7197724235
GPAT3	resistance	4	-0.7141223746
MDK	resistance	5	-0.7102213823
PLAGL1	resistance	6	-0.7019165612
HMGA2	resistance	7	-0.7013642444
ETV4	resistance	8	-0.6673236519
AMIGO2	resistance	9	-0.6642725689
QPRT	resistance	10	-0.6637687631
TM4SF18	resistance	11	-0.6626992906
RUNX2	resistance	12	-0.6477179099
MYEOV	resistance	13	-0.643794944
CX3CL1	resistance	14	-0.6365116295
CFI	resistance	15	-0.6236886296
GGT1	resistance	16	-0.622104152
CSAG1	resistance	17	-0.6159961402
SERPINA1	resistance	18	-0.6091666247
CLDN4	resistance	19	-0.6091243671
RBP1	resistance	20	-0.6065598244
PAX8	resistance	21	-0.6018462026
EPCAM	resistance	22	-0.6016382773
MAGEA12	resistance	23	-0.6014331066
SLC34A2	resistance	24	-0.5938797734
ADM2	resistance	25	-0.5892329863
TNFAIP2	resistance	26	-0.5856834695
ITGB3	resistance	27	-0.581630581
TNNT1	resistance	28	-0.5815779211
HGD	resistance	29	-0.5776394543
PCOLCE	resistance	30	-0.5758461801
