gene_symbol	direction	rank_in_direction	delta
RBP1	sensitivity	1	1.85066925
NELL2	sensitivity	2	1.725862884
KRT5	sensitivity	3	1.724628733
MDFI	sensitivity	4	1.64684209
BEX1	sensitivity	5	1.633232797
CENPV	sensitivity	6	1.553651898
MFAP2	sensitivity	7	1.537557016
NRARP	sensitivity	8	1.402203447
KIF1A	sensitivity	9	1.389217718
CKB	sensitivity	10	1.366967817
TCF4	sensitivity	11	1.328680871
MACROH2A2	sensitivity	12	1.277319066
RCOR2	sensitivity	13	1.273680249
KRT17	sensitivity	14	1.252428164
HOXD10	sensitivity	15	1.25162065
ARHGAP4	sensitivity	16	1.231797557
KRT6A	sensitivity	17	1.230084506
MAGEA3	sensitivity	18	1.217639706
UCHL1	sensitivity	19	1.186457723
ZNF711	sensitivity	20	1.166052765
WNK2	sensitivity	21	1.148819074
MLLT11	sensitivity	22	1.122659783
ZIC2	sensitivity	23	1.104861189
NETO2	sensitivity	24	1.103021529
MEX3A	sensitivity	25	1.101094415
KCNQ2	sensitivity	26	1.09603335
JAG2	sensitivity	27	1.083817288
CRABP1	sensitivity	28	1.074657995
COCH	sensitivity	29	1.072483492
FSD1	sensitivity	30	1.069089056
MLPH	resistance	1	-2.746303739
FN1	resistance	2	-2.504956408
KRT19	resistance	3	-2.221034127
ANKRD1	resistance	4	-2.13822196
LTBR	resistance	5	-2.082763081
S100A6	resistance	6	-2.082229858
SPARC	resistance	7	-1.960644045
MGST1	resistance	8	-1.926700767
LGALS3	resistance	9	-1.91572501
TGM2	resistance	10	-1.875922638
SPP1	resistance	11	-1.863461025
KRT7	resistance	12	-1.841821735
S100A16	resistance	13	-1.80700381
GDF15	resistance	14	-1.802706351
VAMP5	resistance	15	-1.799314624
IGFBP5	resistance	16	-1.778757474
SRGN	resistance	17	-1.744601459
THBS1	resistance	18	-1.743088692
CRYAB	resistance	19	-1.739423357
MYOF	resistance	20	-1.729879897
SYTL2	resistance	21	-1.699494523
LMCD1	resistance	22	-1.670185705
SLC2A10	resistance	23	-1.646862708
GPRC5A	resistance	24	-1.634603143
CAVIN3	resistance	25	-1.623544903
S100A1	resistance	26	-1.615372989
ABLIM3	resistance	27	-1.613193815
IGFBP7	resistance	28	-1.611635935
SERPINE1	resistance	29	-1.603223799
GYPC	resistance	30	-1.590108884
