gene_symbol	direction	rank_in_direction	delta
KIF1A	sensitivity	1	1.872780154
TMSB15A	sensitivity	2	1.787419435
BEX1	sensitivity	3	1.692901808
JAM3	sensitivity	4	1.572250063
TUBB2B	sensitivity	5	1.438086261
NELL2	sensitivity	6	1.422975192
FXYD6	sensitivity	7	1.364892882
TMEM98	sensitivity	8	1.345226769
KCNQ2	sensitivity	9	1.337253773
PDZD4	sensitivity	10	1.324335742
TRO	sensitivity	11	1.318033718
RCOR2	sensitivity	12	1.317657078
FSD1	sensitivity	13	1.309189668
NCAM1	sensitivity	14	1.294735389
OLFM2	sensitivity	15	1.255104497
DPYSL5	sensitivity	16	1.252528308
LIMD2	sensitivity	17	1.231747248
VANGL2	sensitivity	18	1.229778356
PNMA8A	sensitivity	19	1.212489619
SEPTIN5	sensitivity	20	1.20274398
SEPTIN3	sensitivity	21	1.201687861
APBA2	sensitivity	22	1.201447168
MEX3A	sensitivity	23	1.185397941
EFNB3	sensitivity	24	1.179377037
ISYNA1	sensitivity	25	1.178525119
CRMP1	sensitivity	26	1.178272128
DIRAS1	sensitivity	27	1.16672207
AEBP1	sensitivity	28	1.162624033
CNTFR	sensitivity	29	1.159177449
TUBA1A	sensitivity	30	1.159174179
ABCC3	resistance	1	-2.429419335
MGST1	resistance	2	-2.206035452
GPRC5A	resistance	3	-2.203511051
KRT19	resistance	4	-2.109244984
CAV1	resistance	5	-2.092090076
S100A16	resistance	6	-2.046218476
CAV2	resistance	7	-2.044993321
TINAGL1	resistance	8	-2.030698482
C19ORF33	resistance	9	-2.012020717
TM4SF1	resistance	10	-1.986177706
ANXA3	resistance	11	-1.980831693
TGFBI	resistance	12	-1.96461287
KRT8	resistance	13	-1.962030606
IL18	resistance	14	-1.927750837
CLDN4	resistance	15	-1.918414479
AKR1C3	resistance	16	-1.907182448
MYOF	resistance	17	-1.903916801
S100A6	resistance	18	-1.863762397
CAPG	resistance	19	-1.861268591
MET	resistance	20	-1.846723121
S100A10	resistance	21	-1.846060056
KRT7	resistance	22	-1.792283993
MALL	resistance	23	-1.790719212
LGALS3	resistance	24	-1.770211915
PPARG	resistance	25	-1.751820941
ITGA3	resistance	26	-1.748495041
ELF3	resistance	27	-1.747956617
KRT80	resistance	28	-1.718994971
TGM2	resistance	29	-1.716985999
EPS8L2	resistance	30	-1.711183111
