gene_symbol	direction	rank_in_direction	delta
TACSTD2	sensitivity	1	3.749877342
S100A14	sensitivity	2	3.654960634
FXYD3	sensitivity	3	3.585357247
LCN2	sensitivity	4	3.471487374
KRT6A	sensitivity	5	3.332450345
KRT17	sensitivity	6	3.295267013
KRT5	sensitivity	7	3.255590516
MAL2	sensitivity	8	3.223826607
S100P	sensitivity	9	3.220892868
FGFBP1	sensitivity	10	3.214757169
SFN	sensitivity	11	3.161902216
C19ORF33	sensitivity	12	3.155429502
ELF3	sensitivity	13	3.098261746
EPCAM	sensitivity	14	3.004981006
TINAGL1	sensitivity	15	2.977533368
MPZL2	sensitivity	16	2.969072875
SLPI	sensitivity	17	2.96483378
S100A9	sensitivity	18	2.958494462
SPINT2	sensitivity	19	2.956191956
ITGB4	sensitivity	20	2.953829829
KRT19	sensitivity	21	2.892103854
RAB25	sensitivity	22	2.858605701
LAMC2	sensitivity	23	2.858442392
AREG	sensitivity	24	2.815933251
CLDN4	sensitivity	25	2.80010371
LAD1	sensitivity	26	2.795001401
KRT13	sensitivity	27	2.785239496
SPINT1	sensitivity	28	2.768318928
SERPINB5	sensitivity	29	2.758357022
CDH1	sensitivity	30	2.726892869
VIM	resistance	1	-2.942149998
SPARC	resistance	2	-2.718706745
TUBA1A	resistance	3	-2.470478675
CNRIP1	resistance	4	-2.195256031
DPYSL3	resistance	5	-2.172735594
FHL1	resistance	6	-2.145035493
FGFR1	resistance	7	-2.11578415
THY1	resistance	8	-2.091431595
ANXA6	resistance	9	-2.065029719
BEX1	resistance	10	-2.046655905
COL1A2	resistance	11	-1.995045867
NRN1	resistance	12	-1.974933696
DDR2	resistance	13	-1.973575192
TUBB2B	resistance	14	-1.947004185
PMP22	resistance	15	-1.937878745
EMP3	resistance	16	-1.931702675
COL6A3	resistance	17	-1.926403854
SDC2	resistance	18	-1.899702426
JAM3	resistance	19	-1.895856705
MAP1B	resistance	20	-1.877755682
CDH2	resistance	21	-1.868147498
COL6A2	resistance	22	-1.867031593
UCHL1	resistance	23	-1.846274125
NREP	resistance	24	-1.840614806
SYT11	resistance	25	-1.79206252
MMP2	resistance	26	-1.780795063
ZEB1	resistance	27	-1.755897346
CHN1	resistance	28	-1.714332119
GYPC	resistance	29	-1.697433634
ZEB2	resistance	30	-1.691059029
