gene_symbol	direction	rank_in_direction	delta
SLFN11	sensitivity	1	1.862664344
TMSB15A	sensitivity	2	1.826459866
BEX1	sensitivity	3	1.741056339
JAM3	sensitivity	4	1.711290671
KIF1A	sensitivity	5	1.691889759
TCF4	sensitivity	6	1.651349713
TUBB2B	sensitivity	7	1.598742076
NELL2	sensitivity	8	1.481326286
TRO	sensitivity	9	1.458756493
TUBA1A	sensitivity	10	1.448577715
NREP	sensitivity	11	1.381465124
INA	sensitivity	12	1.347369437
CPT1C	sensitivity	13	1.346954007
TMEM98	sensitivity	14	1.343212359
IGFBPL1	sensitivity	15	1.328447888
CRMP1	sensitivity	16	1.327123394
SV2A	sensitivity	17	1.313301126
FXYD6	sensitivity	18	1.312252603
RPS4Y1	sensitivity	19	1.297857826
HAND2	sensitivity	20	1.284440593
MEX3A	sensitivity	21	1.273485666
FSD1	sensitivity	22	1.26870755
LIMD2	sensitivity	23	1.264502495
PDZD4	sensitivity	24	1.254752661
COL3A1	sensitivity	25	1.251016005
ROBO1	sensitivity	26	1.240192811
SYP	sensitivity	27	1.238248191
DPYSL5	sensitivity	28	1.23436062
SEPTIN3	sensitivity	29	1.233376893
SEPTIN5	sensitivity	30	1.228852784
C19ORF33	resistance	1	-2.363525755
S100A16	resistance	2	-2.357563835
TINAGL1	resistance	3	-2.276345074
KRT19	resistance	4	-2.268355785
GPRC5A	resistance	5	-2.168668649
ANXA3	resistance	6	-2.109652932
KRT8	resistance	7	-2.078801147
MGST1	resistance	8	-2.076734954
ABCC3	resistance	9	-2.064419697
CLDN4	resistance	10	-2.06016472
TM4SF1	resistance	11	-2.054739315
KRT7	resistance	12	-2.04364747
VAMP8	resistance	13	-2.01172179
LGALS3	resistance	14	-2.010573796
S100A6	resistance	15	-1.972202328
AREG	resistance	16	-1.939210457
ITGA3	resistance	17	-1.931157441
TGFBI	resistance	18	-1.920577659
MAL2	resistance	19	-1.883932313
ELF3	resistance	20	-1.848822622
EPS8L2	resistance	21	-1.830101998
MYOF	resistance	22	-1.793827793
CD44	resistance	23	-1.791023503
S100A10	resistance	24	-1.758910595
CAPG	resistance	25	-1.750078753
KRT18	resistance	26	-1.743696222
IL18	resistance	27	-1.723340226
S100A11	resistance	28	-1.710468303
TGM2	resistance	29	-1.694607029
AGR2	resistance	30	-1.686000565
