gene_symbol	direction	rank_in_direction	delta
GPX2	sensitivity	1	1.954046983
CKMT1A	sensitivity	2	1.800460159
CKMT1B	sensitivity	3	1.790538126
S100A14	sensitivity	4	1.728103366
EPCAM	sensitivity	5	1.66609872
ALDH3A1	sensitivity	6	1.609863202
KRT5	sensitivity	7	1.608559588
RAB25	sensitivity	8	1.60177075
FXYD3	sensitivity	9	1.599925471
SERPINB5	sensitivity	10	1.543347833
SFN	sensitivity	11	1.472568123
IRF6	sensitivity	12	1.458636299
SPINT2	sensitivity	13	1.43735288
AGR2	sensitivity	14	1.435914363
LAD1	sensitivity	15	1.4319162
MDFI	sensitivity	16	1.404516579
FERMT1	sensitivity	17	1.390068268
KRT6A	sensitivity	18	1.38838777
S100P	sensitivity	19	1.373048456
ST14	sensitivity	20	1.360487491
COL17A1	sensitivity	21	1.340501157
LCN2	sensitivity	22	1.311509761
FGFBP1	sensitivity	23	1.298526514
EHF	sensitivity	24	1.282725669
ITGB4	sensitivity	25	1.278951775
TRIM29	sensitivity	26	1.27320617
MST1R	sensitivity	27	1.265685559
JAG2	sensitivity	28	1.252628476
SPINT1	sensitivity	29	1.231860783
HSD11B2	sensitivity	30	1.223942839
SPARC	resistance	1	-3.114031516
FN1	resistance	2	-3.036869831
VIM	resistance	3	-2.50245898
NNMT	resistance	4	-2.418780288
IGFBP7	resistance	5	-2.241425498
SDC2	resistance	6	-2.14047606
DAB2	resistance	7	-2.029407606
LGALS1	resistance	8	-1.958184268
SERPINE1	resistance	9	-1.954799142
ITGB3	resistance	10	-1.937659985
FSTL1	resistance	11	-1.918340351
COL6A2	resistance	12	-1.916060192
CDH2	resistance	13	-1.898776665
SPOCK1	resistance	14	-1.879716914
GYPC	resistance	15	-1.874792253
CCN2	resistance	16	-1.862788312
EMP3	resistance	17	-1.862659241
SGCE	resistance	18	-1.862106677
SRGN	resistance	19	-1.860010125
PLOD2	resistance	20	-1.84889507
CRYAB	resistance	21	-1.832346973
CCN1	resistance	22	-1.829134057
MOXD1	resistance	23	-1.806297522
COL4A1	resistance	24	-1.754629823
LOXL2	resistance	25	-1.742653872
HSPB8	resistance	26	-1.737295045
SRPX	resistance	27	-1.718283853
IL6	resistance	28	-1.705251038
LAMA4	resistance	29	-1.689725115
COL1A2	resistance	30	-1.674797099
