gene_symbol	direction	rank_in_direction	delta
FXYD3	sensitivity	1	3.522294106
S100A14	sensitivity	2	3.510692958
TACSTD2	sensitivity	3	3.285912266
MAL2	sensitivity	4	3.144416524
KRT5	sensitivity	5	3.11876681
KRT6A	sensitivity	6	3.024527447
RAB25	sensitivity	7	3.023518073
KRT17	sensitivity	8	3.021264029
GPX2	sensitivity	9	2.986931469
FGFBP1	sensitivity	10	2.964009157
EPCAM	sensitivity	11	2.908777372
ELF3	sensitivity	12	2.861950752
LAD1	sensitivity	13	2.826539582
CDH1	sensitivity	14	2.811246932
ST14	sensitivity	15	2.788485237
SFN	sensitivity	16	2.711324727
LCN2	sensitivity	17	2.700643377
AGR2	sensitivity	18	2.657057436
S100P	sensitivity	19	2.654814931
CDH3	sensitivity	20	2.650067651
SPINT2	sensitivity	21	2.63458492
IRF6	sensitivity	22	2.622244921
ITGB4	sensitivity	23	2.607891822
SERPINB5	sensitivity	24	2.598787654
SPINT1	sensitivity	25	2.594514947
MPZL2	sensitivity	26	2.573353669
TRIM29	sensitivity	27	2.562621765
CLDN7	sensitivity	28	2.429668703
ESRP1	sensitivity	29	2.411990925
PRSS8	sensitivity	30	2.394576739
VIM	resistance	1	-3.176830703
SPARC	resistance	2	-2.552923
COL6A2	resistance	3	-2.107897451
EMP3	resistance	4	-2.087252458
TUBA1A	resistance	5	-1.927975244
FGFR1	resistance	6	-1.834307249
THY1	resistance	7	-1.801926961
ANXA6	resistance	8	-1.788639593
SDC2	resistance	9	-1.780545441
SRGN	resistance	10	-1.754220417
LGALS1	resistance	11	-1.701219058
COL6A1	resistance	12	-1.694515986
LOX	resistance	13	-1.675716318
LOXL2	resistance	14	-1.671110927
CNRIP1	resistance	15	-1.667018451
FBN1	resistance	16	-1.635199022
MRC2	resistance	17	-1.630166562
C8ORF88	resistance	18	-1.611465401
FHL1	resistance	19	-1.608476583
MMP2	resistance	20	-1.601814609
FSTL1	resistance	21	-1.572535601
TMEM158	resistance	22	-1.571377394
ZEB1	resistance	23	-1.571076678
COL6A3	resistance	24	-1.563755168
DDR2	resistance	25	-1.538671245
COL1A2	resistance	26	-1.518528701
DPYSL3	resistance	27	-1.510786913
PMP22	resistance	28	-1.50533483
MAP1B	resistance	29	-1.480694671
UCHL1	resistance	30	-1.473531799
