gene_symbol	direction	rank_in_direction	delta
SLFN11	sensitivity	1	2.395272977
BEX1	sensitivity	2	1.37836902
KIF1A	sensitivity	3	1.183665485
CKMT1A	sensitivity	4	1.16737199
SYP	sensitivity	5	1.164598326
CKMT1B	sensitivity	6	1.164101607
CENPV	sensitivity	7	1.091173063
RGS16	sensitivity	8	1.084823526
TMSB15A	sensitivity	9	1.074179146
TMEM98	sensitivity	10	1.063755632
RCOR2	sensitivity	11	1.044997971
EPHA7	sensitivity	12	1.042385822
ITPRIPL1	sensitivity	13	1.038745133
ASRGL1	sensitivity	14	1.036236191
SLC6A15	sensitivity	15	1.023306682
KCNH2	sensitivity	16	1.013829832
KLHL23	sensitivity	17	1.011237092
GPX2	sensitivity	18	1.008914065
CPT1C	sensitivity	19	1.003906936
CORO1A	sensitivity	20	0.9925401935
FXYD6	sensitivity	21	0.9918263691
NELL2	sensitivity	22	0.9912120001
DPYSL5	sensitivity	23	0.9888476249
JAM3	sensitivity	24	0.980209786
CHGB	sensitivity	25	0.9480407631
MLLT11	sensitivity	26	0.9452529868
TRO	sensitivity	27	0.9376957883
IGF2BP1	sensitivity	28	0.9295142394
RIMBP2	sensitivity	29	0.9262482833
ANKRD13B	sensitivity	30	0.9210653174
THBS1	resistance	1	-2.252015047
SERPINE1	resistance	2	-2.197219085
KRT7	resistance	3	-2.1106584
NNMT	resistance	4	-2.009749416
CD44	resistance	5	-1.866355543
CAV1	resistance	6	-1.864503739
ITGA3	resistance	7	-1.842421418
TM4SF1	resistance	8	-1.756164103
TGM2	resistance	9	-1.753510906
CCDC80	resistance	10	-1.749091405
S100A16	resistance	11	-1.745378804
MYOF	resistance	12	-1.743761436
COL12A1	resistance	13	-1.731881542
AXL	resistance	14	-1.731345235
GPRC5A	resistance	15	-1.722072767
IGFBP7	resistance	16	-1.700082332
FSTL1	resistance	17	-1.683733478
S100A10	resistance	18	-1.672858164
TGFBI	resistance	19	-1.666793633
FN1	resistance	20	-1.637165322
EFEMP1	resistance	21	-1.620888216
CCN1	resistance	22	-1.614295007
ANKRD1	resistance	23	-1.592059841
LGALS1	resistance	24	-1.547700367
CAV2	resistance	25	-1.547547314
EMP1	resistance	26	-1.547503304
C19ORF33	resistance	27	-1.535335113
LGALS3	resistance	28	-1.513980889
COL1A1	resistance	29	-1.511569286
DKK1	resistance	30	-1.510495224
