gene_symbol	direction	rank_in_direction	delta
CLU	sensitivity	1	1.492482404
ALDH3A1	sensitivity	2	1.185210358
FGFR4	sensitivity	3	1.077123572
TAGLN	sensitivity	4	0.9876119527
TFPI2	sensitivity	5	0.9487200769
S100P	sensitivity	6	0.9209060477
TNNC1	sensitivity	7	0.9145889332
P3H2	sensitivity	8	0.9132456
EMP3	sensitivity	9	0.8884985292
CCN2	sensitivity	10	0.8847491909
FGB	sensitivity	11	0.8572681601
MYL9	sensitivity	12	0.8525418928
LGALS1	sensitivity	13	0.8507774381
CLDN1	sensitivity	14	0.8443936399
HGD	sensitivity	15	0.8441068514
ARSL	sensitivity	16	0.8419426845
IFITM2	sensitivity	17	0.8414055477
IQGAP2	sensitivity	18	0.8205266122
CNN2	sensitivity	19	0.8101831407
VIM	sensitivity	20	0.8041387448
PCOLCE2	sensitivity	21	0.7919049211
RNASE4	sensitivity	22	0.7826795487
CCN1	sensitivity	23	0.7791020261
COL4A1	sensitivity	24	0.7785907799
ITGB5	sensitivity	25	0.7763767275
GPAT3	sensitivity	26	0.773622071
ANGPTL4	sensitivity	27	0.769510936
S100A4	sensitivity	28	0.7691022535
TMEM144	sensitivity	29	0.7595798936
ALDH2	sensitivity	30	0.7573268727
FST	resistance	1	-1.473795181
RGS16	resistance	2	-1.099038007
LCN2	resistance	3	-1.063215864
SLC43A3	resistance	4	-1.027482858
EPB41L3	resistance	5	-1.012803437
PLAT	resistance	6	-1.00275268
FXYD3	resistance	7	-0.9540991394
TXNIP	resistance	8	-0.9463260604
MDK	resistance	9	-0.9430166551
ANKRD65	resistance	10	-0.9426009278
ST6GALNAC2	resistance	11	-0.92349355
LRATD1	resistance	12	-0.9120992667
WFDC2	resistance	13	-0.9107292962
HLA-C	resistance	14	-0.8974439586
FYN	resistance	15	-0.8748727789
IL1A	resistance	16	-0.8716901179
CPT1C	resistance	17	-0.8688984566
PODXL2	resistance	18	-0.8669989183
TUBA1A	resistance	19	-0.8626284447
EEF1A2	resistance	20	-0.8606419327
HOXD10	resistance	21	-0.8473863743
SYT1	resistance	22	-0.84272313
IL1B	resistance	23	-0.841598973
SMIM22	resistance	24	-0.8227519555
CASP1	resistance	25	-0.8223747534
TUBB2B	resistance	26	-0.8082401647
SLCO3A1	resistance	27	-0.7962940436
NSG1	resistance	28	-0.7927151924
ASCL1	resistance	29	-0.7924947979
ADAM23	resistance	30	-0.7856505275
