gene_symbol	direction	rank_in_direction	delta
IGFBP5	sensitivity	1	0.8407815908
PDGFRA	sensitivity	2	0.6799198692
CYTL1	sensitivity	3	0.6202147896
ALB	sensitivity	4	0.6152905674
PTN	sensitivity	5	0.5828463291
COL1A2	sensitivity	6	0.5653357846
ANXA6	sensitivity	7	0.5479970028
CPED1	sensitivity	8	0.5398846196
MMP1	sensitivity	9	0.5344059385
SHISA2	sensitivity	10	0.5328598383
PAX3	sensitivity	11	0.5301218606
FRMD4A	sensitivity	12	0.5192680512
CXCL12	sensitivity	13	0.5036112943
SLC38A5	sensitivity	14	0.500608799
CCDC152	sensitivity	15	0.4948281183
AMPH	sensitivity	16	0.4928653001
TUBB2B	sensitivity	17	0.4856505051
EMILIN1	sensitivity	18	0.4800550661
OLFML3	sensitivity	19	0.4752341223
ITGA4	sensitivity	20	0.467174167
KRT20	sensitivity	21	0.4655522816
LRRC17	sensitivity	22	0.4654274571
LDB2	sensitivity	23	0.4637112899
MSC	sensitivity	24	0.4630963523
ROBO1	sensitivity	25	0.4619837425
RGS4	sensitivity	26	0.461439049
SERPINF1	sensitivity	27	0.4594538445
MAP3K7CL	sensitivity	28	0.4589649231
THY1	sensitivity	29	0.4570877758
CCL20	sensitivity	30	0.4570565397
CDH3	resistance	1	-1.266249053
KRT8	resistance	2	-1.168004324
C19ORF33	resistance	3	-1.164576334
KRT7	resistance	4	-1.131680189
GPRC5A	resistance	5	-1.092387306
SLPI	resistance	6	-1.006020648
MSLN	resistance	7	-0.884558586
SFN	resistance	8	-0.8770818745
TINAGL1	resistance	9	-0.8668755747
SPINT2	resistance	10	-0.8665080978
IL18	resistance	11	-0.8580157714
ANXA3	resistance	12	-0.8169345075
KRT18	resistance	13	-0.8156898303
PLBD1	resistance	14	-0.8139299245
KLF5	resistance	15	-0.7970599039
FBLN2	resistance	16	-0.7869629359
KRT17	resistance	17	-0.7833060925
MT1E	resistance	18	-0.7734512158
KLK6	resistance	19	-0.7619849482
ELF3	resistance	20	-0.7558568201
CRIP1	resistance	21	-0.7476380799
DMKN	resistance	22	-0.728695671
JUP	resistance	23	-0.7200741833
SERPINB5	resistance	24	-0.7147158292
SCNN1A	resistance	25	-0.7132465191
VAMP8	resistance	26	-0.7129917181
CLIC3	resistance	27	-0.7110823806
SAT1	resistance	28	-0.695266785
MISP	resistance	29	-0.6868342525
CAV2	resistance	30	-0.6842781541
