gene_symbol	direction	rank_in_direction	delta
S100A14	sensitivity	1	4.364856546
FXYD3	sensitivity	2	4.269697221
RAB25	sensitivity	3	4.148894605
EPCAM	sensitivity	4	4.141336654
MAL2	sensitivity	5	3.854900463
CDH1	sensitivity	6	3.754589519
ST14	sensitivity	7	3.710364542
ELF3	sensitivity	8	3.708533459
SPINT2	sensitivity	9	3.679494225
TACSTD2	sensitivity	10	3.666774829
GPX2	sensitivity	11	3.651134885
AGR2	sensitivity	12	3.50337068
CLDN4	sensitivity	13	3.464392172
S100P	sensitivity	14	3.451139247
LAD1	sensitivity	15	3.421054954
SPINT1	sensitivity	16	3.361204015
CLDN7	sensitivity	17	3.318730018
LCN2	sensitivity	18	3.304580696
ESRP1	sensitivity	19	3.28865676
S100A9	sensitivity	20	3.273597492
CDH3	sensitivity	21	3.194690061
IRF6	sensitivity	22	3.123683436
SFN	sensitivity	23	3.100177976
KRT17	sensitivity	24	3.085681809
KRT5	sensitivity	25	3.059492054
TRIM29	sensitivity	26	3.05901922
MPZL2	sensitivity	27	3.00734771
PRSS8	sensitivity	28	3.007047014
LSR	sensitivity	29	2.986792641
KRT6A	sensitivity	30	2.961932907
VIM	resistance	1	-4.636874813
SPARC	resistance	2	-3.936732773
EMP3	resistance	3	-3.325946788
LGALS1	resistance	4	-2.901035133
FSTL1	resistance	5	-2.733195602
COL6A2	resistance	6	-2.671264328
FN1	resistance	7	-2.543160059
SRGN	resistance	8	-2.458833925
LOXL2	resistance	9	-2.454134632
SERPINE1	resistance	10	-2.450455524
FGFR1	resistance	11	-2.412164221
ANXA6	resistance	12	-2.385414927
PMP22	resistance	13	-2.322999041
GNG11	resistance	14	-2.275832793
FHL1	resistance	15	-2.27431581
FBN1	resistance	16	-2.25708125
COL1A2	resistance	17	-2.235471824
SRPX	resistance	18	-2.216683912
COL6A1	resistance	19	-2.207448535
AXL	resistance	20	-2.205670497
COL6A3	resistance	21	-2.204652021
TUBA1A	resistance	22	-2.196482468
NNMT	resistance	23	-2.192849527
CCN2	resistance	24	-2.192171147
TMEM158	resistance	25	-2.185563774
VCAN	resistance	26	-2.16236309
LIX1L	resistance	27	-2.150873804
ZEB1	resistance	28	-2.108765497
FKBP10	resistance	29	-2.103762733
ZEB2	resistance	30	-2.103195535
