gene_symbol	direction	rank_in_direction	delta
CDCA7	sensitivity	1	0.987919704
CENPV	sensitivity	2	0.9456696574
IGF2BP1	sensitivity	3	0.8707948508
GSTP1	sensitivity	4	0.8298419687
HMGA2	sensitivity	5	0.8106520662
GATA4	sensitivity	6	0.7890118807
PRAME	sensitivity	7	0.7808084181
SLCO4A1	sensitivity	8	0.7687880265
PCSK9	sensitivity	9	0.760662385
EREG	sensitivity	10	0.7602275662
ADGRG6	sensitivity	11	0.7470715259
FSD1	sensitivity	12	0.7415476164
C1QBP	sensitivity	13	0.7320761467
COL9A3	sensitivity	14	0.7235400001
MYC	sensitivity	15	0.7070999797
FBXO17	sensitivity	16	0.6807550733
PLAC8	sensitivity	17	0.6791777566
GAL	sensitivity	18	0.674180144
CHRNA5	sensitivity	19	0.6600300424
SERPINF1	sensitivity	20	0.6598412431
SLC6A15	sensitivity	21	0.6559012616
PALD1	sensitivity	22	0.6515386283
BDH1	sensitivity	23	0.6487406043
SCD	sensitivity	24	0.6444373627
AURKB	sensitivity	25	0.643343605
TYMS	sensitivity	26	0.6422279568
ETV4	sensitivity	27	0.631273605
APOC1	sensitivity	28	0.6265634922
SOSTDC1	sensitivity	29	0.6235833223
SLC18B1	sensitivity	30	0.6221044252
FN1	resistance	1	-1.825472624
THBS1	resistance	2	-1.734576901
SPOCK1	resistance	3	-1.670852966
EPAS1	resistance	4	-1.538094743
CD24	resistance	5	-1.523500805
IGFBP5	resistance	6	-1.489128956
KRT19	resistance	7	-1.439770962
COL1A1	resistance	8	-1.436198356
KRT7	resistance	9	-1.39244077
EFEMP1	resistance	10	-1.366015915
GPX3	resistance	11	-1.356184746
SYTL2	resistance	12	-1.320634054
TGFBI	resistance	13	-1.312105526
NUPR1	resistance	14	-1.283874841
IL6	resistance	15	-1.276789609
COL8A1	resistance	16	-1.265898999
HLA-B	resistance	17	-1.242306321
ACKR3	resistance	18	-1.239799723
NDRG1	resistance	19	-1.234120108
MGLL	resistance	20	-1.230911368
ADIRF	resistance	21	-1.220230029
CLDN4	resistance	22	-1.215915229
ADGRG1	resistance	23	-1.211662764
ADAM12	resistance	24	-1.194429989
CEMIP	resistance	25	-1.192433305
GREM1	resistance	26	-1.191813673
CA12	resistance	27	-1.163791517
CPE	resistance	28	-1.133926005
HSPB8	resistance	29	-1.105918941
CRYAB	resistance	30	-1.105526295
