gene_symbol	direction	rank_in_direction	delta
KIF1A	sensitivity	1	1.847789563
BEX1	sensitivity	2	1.591287965
CHGA	sensitivity	3	1.539673703
KCNH2	sensitivity	4	1.50838167
RPS4Y1	sensitivity	5	1.483676303
NELL2	sensitivity	6	1.462116847
CHGB	sensitivity	7	1.458279078
IGFBP2	sensitivity	8	1.434903309
DPYSL5	sensitivity	9	1.404690031
CKMT1B	sensitivity	10	1.389182258
TMSB15A	sensitivity	11	1.386541442
DDC	sensitivity	12	1.376415539
FXYD6	sensitivity	13	1.37007128
SLFN11	sensitivity	14	1.35920739
RCOR2	sensitivity	15	1.343472945
SYP	sensitivity	16	1.323166172
TSPAN7	sensitivity	17	1.311280497
NCAM1	sensitivity	18	1.304672206
INSM1	sensitivity	19	1.295179256
CKMT1A	sensitivity	20	1.281187549
CPLX2	sensitivity	21	1.259680303
UNC13A	sensitivity	22	1.25267412
SYT4	sensitivity	23	1.245505625
SEPTIN3	sensitivity	24	1.226291804
GNG4	sensitivity	25	1.225338545
JAM3	sensitivity	26	1.218795606
WNK2	sensitivity	27	1.207779777
SBK1	sensitivity	28	1.202810674
TUBB2B	sensitivity	29	1.200386169
ASCL1	sensitivity	30	1.185469559
THBS1	resistance	1	-2.676439189
TGFBI	resistance	2	-2.484174804
SERPINE1	resistance	3	-2.349530673
CD44	resistance	4	-2.331914018
CAV1	resistance	5	-2.249464185
NNMT	resistance	6	-2.234323969
AXL	resistance	7	-2.208601016
TGM2	resistance	8	-2.058273301
MYOF	resistance	9	-2.03274554
TM4SF1	resistance	10	-2.01605951
DKK1	resistance	11	-1.994324746
ANKRD1	resistance	12	-1.991441684
KRT7	resistance	13	-1.989419437
S100A6	resistance	14	-1.967758711
S100A16	resistance	15	-1.930245155
CCN1	resistance	16	-1.893586857
IGFBP7	resistance	17	-1.883912279
PRSS23	resistance	18	-1.88001692
CAV2	resistance	19	-1.810230134
ITGA3	resistance	20	-1.781479151
LGALS1	resistance	21	-1.777606441
EMP1	resistance	22	-1.760801451
TINAGL1	resistance	23	-1.753346604
FN1	resistance	24	-1.752970644
FXYD5	resistance	25	-1.74463453
GPRC5A	resistance	26	-1.743257104
ANXA3	resistance	27	-1.728534782
FSTL1	resistance	28	-1.713183352
S100A10	resistance	29	-1.694304609
CAVIN3	resistance	30	-1.682102549
