gene_symbol	direction	rank_in_direction	delta
NELL2	sensitivity	1	1.59475154
KRT5	sensitivity	2	1.565164147
KRT17	sensitivity	3	1.498857382
KIF1A	sensitivity	4	1.379227432
KRT6A	sensitivity	5	1.270861271
MDFI	sensitivity	6	1.256095482
RCOR2	sensitivity	7	1.217020863
UNC5B	sensitivity	8	1.188111981
CENPV	sensitivity	9	1.179220821
MACROH2A2	sensitivity	10	1.162649677
IGFBPL1	sensitivity	11	1.159675334
ASS1	sensitivity	12	1.14366713
JAG2	sensitivity	13	1.127690544
WNK2	sensitivity	14	1.122785435
TCF4	sensitivity	15	1.121606163
TMSB15A	sensitivity	16	1.075739022
CKMT1A	sensitivity	17	1.07267764
PKP1	sensitivity	18	1.070176286
MFAP2	sensitivity	19	1.064367658
IGSF9	sensitivity	20	1.056389073
MARK1	sensitivity	21	1.054741485
ZNF711	sensitivity	22	1.050527768
TP63	sensitivity	23	1.047608258
CKMT1B	sensitivity	24	1.046634091
NRARP	sensitivity	25	1.034747054
UCHL1	sensitivity	26	1.031280299
STRA6	sensitivity	27	1.016132844
HOXD10	sensitivity	28	1.00861892
CKB	sensitivity	29	1.006670909
RBP1	sensitivity	30	1.005319475
FN1	resistance	1	-2.056017478
NNMT	resistance	2	-1.956818237
SERPINE1	resistance	3	-1.874703431
TM4SF1	resistance	4	-1.833376351
TGM2	resistance	5	-1.761690617
MLPH	resistance	6	-1.758530777
S100A6	resistance	7	-1.729980796
IGFBP7	resistance	8	-1.663694903
SPARC	resistance	9	-1.55492087
LGALS3	resistance	10	-1.543978053
GDF15	resistance	11	-1.543539349
TGFBI	resistance	12	-1.542026952
CAVIN3	resistance	13	-1.53490306
ANKRD1	resistance	14	-1.509193689
LGALS1	resistance	15	-1.508689226
DAB2	resistance	16	-1.495128334
EVA1A	resistance	17	-1.4901685
CD68	resistance	18	-1.457621082
MGST1	resistance	19	-1.45702889
SPP1	resistance	20	-1.453541718
SLC16A4	resistance	21	-1.444275553
GYPC	resistance	22	-1.437785845
LXN	resistance	23	-1.437555553
S100A10	resistance	24	-1.431356069
SYTL2	resistance	25	-1.413994085
CD44	resistance	26	-1.393911236
VIM	resistance	27	-1.381642853
MGLL	resistance	28	-1.381048531
KRT7	resistance	29	-1.374750658
CRYAB	resistance	30	-1.373943363
