gene_symbol	direction	rank_in_direction	delta
COL3A1	sensitivity	1	1.539575652
TCF4	sensitivity	2	1.303069694
UCHL1	sensitivity	3	1.224821916
TUBB2B	sensitivity	4	1.169974041
NREP	sensitivity	5	1.132613841
TUBA1A	sensitivity	6	1.128544781
TMSB15A	sensitivity	7	1.11132349
COL1A2	sensitivity	8	1.102092784
MFAP4	sensitivity	9	1.084626596
MAP1B	sensitivity	10	1.033814814
JAM3	sensitivity	11	1.026844307
FBLN1	sensitivity	12	1.024615936
FGFR1	sensitivity	13	1.020687519
THY1	sensitivity	14	1.013254833
SEPTIN5	sensitivity	15	1.002679104
DZIP1	sensitivity	16	0.9967469619
BEX1	sensitivity	17	0.9944546318
MLLT11	sensitivity	18	0.9753310315
COL5A2	sensitivity	19	0.95783232
PLEKHO1	sensitivity	20	0.9504930074
CRMP1	sensitivity	21	0.939407513
SAMD11	sensitivity	22	0.9389594728
CENPV	sensitivity	23	0.9203137669
SV2A	sensitivity	24	0.89116565
GSTA4	sensitivity	25	0.8843952366
VIM	sensitivity	26	0.8766448149
GPR162	sensitivity	27	0.8738893346
BGN	sensitivity	28	0.8703388934
FLNC	sensitivity	29	0.8667213926
B4GALNT1	sensitivity	30	0.8660170836
GPRC5A	resistance	1	-1.926236077
TACSTD2	resistance	2	-1.879693704
LCN2	resistance	3	-1.831424303
FXYD3	resistance	4	-1.759728652
ALDH1A3	resistance	5	-1.653550455
S100A14	resistance	6	-1.548519757
LGALS3	resistance	7	-1.533921923
ELF3	resistance	8	-1.524532325
TINAGL1	resistance	9	-1.496764801
C19ORF33	resistance	10	-1.469807542
TGFA	resistance	11	-1.46148377
AREG	resistance	12	-1.440420148
LAMB3	resistance	13	-1.435845379
VAMP8	resistance	14	-1.431790064
ANXA3	resistance	15	-1.417679195
ADIRF	resistance	16	-1.404501414
TSPAN1	resistance	17	-1.389793592
PRSS22	resistance	18	-1.385283205
IFI27	resistance	19	-1.378922388
GDF15	resistance	20	-1.36733496
CLDN7	resistance	21	-1.357034674
CDH1	resistance	22	-1.353044057
KRT7	resistance	23	-1.349789855
MST1R	resistance	24	-1.340686958
RAB25	resistance	25	-1.340189806
EHF	resistance	26	-1.32980739
SLPI	resistance	27	-1.328932865
CLDN4	resistance	28	-1.317189063
KRT80	resistance	29	-1.293857934
CST6	resistance	30	-1.26402467
