gene_symbol	direction	rank_in_direction	delta
LIF	sensitivity	1	0.9319050192
DMKN	sensitivity	2	0.8385562116
DUSP6	sensitivity	3	0.8022840395
HOXB9	sensitivity	4	0.7077505407
KRT19	sensitivity	5	0.686549142
CYP24A1	sensitivity	6	0.6816125523
LSR	sensitivity	7	0.6810536506
ETV4	sensitivity	8	0.6717471639
TNFRSF10D	sensitivity	9	0.6623981755
JAG1	sensitivity	10	0.6581421795
FKBP10	sensitivity	11	0.6474625426
PAX8	sensitivity	12	0.6376212147
HMGA2	sensitivity	13	0.6325780807
RGL3	sensitivity	14	0.6320436152
TINAGL1	sensitivity	15	0.626634593
FGFR4	sensitivity	16	0.6245248538
ANXA3	sensitivity	17	0.6224013797
CA2	sensitivity	18	0.6193306039
TMEM156	sensitivity	19	0.6134382525
MYEOV	sensitivity	20	0.6134110926
C19ORF33	sensitivity	21	0.608662644
MMP15	sensitivity	22	0.6046038082
PLPP2	sensitivity	23	0.5959947076
RAB17	sensitivity	24	0.579236886
CXCL1	sensitivity	25	0.5790288935
CT83	sensitivity	26	0.5696271453
CXCL8	sensitivity	27	0.5675819738
CALB2	sensitivity	28	0.558426654
TESC	sensitivity	29	0.5577439434
KRT81	sensitivity	30	0.5560400476
SPARC	resistance	1	-0.9667297071
IGFBP5	resistance	2	-0.8990459747
UCHL1	resistance	3	-0.8385594611
KRT14	resistance	4	-0.8049480676
IFITM1	resistance	5	-0.761971498
TCEA3	resistance	6	-0.7409550294
BEX1	resistance	7	-0.7378904572
EFEMP1	resistance	8	-0.7210243479
P3H2	resistance	9	-0.7206771188
MMP2	resistance	10	-0.7028918037
COL3A1	resistance	11	-0.6974504258
BASP1	resistance	12	-0.6961641368
PLIN2	resistance	13	-0.6954084145
COL1A2	resistance	14	-0.6951557189
CDKN2C	resistance	15	-0.6764852366
KCNMA1	resistance	16	-0.6723647261
CLMP	resistance	17	-0.665831293
DKK3	resistance	18	-0.6556699757
FBLN1	resistance	19	-0.6485188701
ST6GALNAC2	resistance	20	-0.6474265401
ZNF528	resistance	21	-0.6423430468
IFI16	resistance	22	-0.6370930121
CPE	resistance	23	-0.6342670409
SPOCK2	resistance	24	-0.633179568
LHFPL6	resistance	25	-0.6312018455
CADM1	resistance	26	-0.6299319464
COCH	resistance	27	-0.6181567052
ACKR3	resistance	28	-0.6121706753
BEX3	resistance	29	-0.6110334793
MYLK	resistance	30	-0.6091838399
