gene_symbol	direction	rank_in_direction	delta
JAM3	sensitivity	1	1.20391628
SCG2	sensitivity	2	1.133649767
TUBA1A	sensitivity	3	1.010821977
UCHL1	sensitivity	4	0.9535242612
SYP	sensitivity	5	0.9502833731
CHGB	sensitivity	6	0.9378908413
MGP	sensitivity	7	0.9167045066
UNC13A	sensitivity	8	0.8877735626
VGF	sensitivity	9	0.8760463993
TRIM9	sensitivity	10	0.8650382449
SLC2A3	sensitivity	11	0.8432943793
RGS4	sensitivity	12	0.8406198806
ROBO1	sensitivity	13	0.8363217863
HES6	sensitivity	14	0.8315329655
CHN1	sensitivity	15	0.8289636126
FYN	sensitivity	16	0.8270729585
MAP1B	sensitivity	17	0.8267685348
TUBB2B	sensitivity	18	0.8209691101
DLX1	sensitivity	19	0.818227043
CRMP1	sensitivity	20	0.8051609988
PKDCC	sensitivity	21	0.7881089936
MLLT11	sensitivity	22	0.7853049176
ID2	sensitivity	23	0.7847234575
DPYSL3	sensitivity	24	0.7787416667
TMEM145	sensitivity	25	0.7785228145
CNRIP1	sensitivity	26	0.7681947892
AMH	sensitivity	27	0.7676085813
ASRGL1	sensitivity	28	0.7607555424
SLC43A1	sensitivity	29	0.7440098234
SPRY4	sensitivity	30	0.7432261535
C19ORF33	resistance	1	-1.982224372
KRT7	resistance	2	-1.910725891
TINAGL1	resistance	3	-1.772340245
TACSTD2	resistance	4	-1.723185954
LCN2	resistance	5	-1.596990043
KRT19	resistance	6	-1.59612248
SLPI	resistance	7	-1.595351769
LAMC2	resistance	8	-1.568483649
LAMA3	resistance	9	-1.564805709
KRT17	resistance	10	-1.475245756
CAV1	resistance	11	-1.462254263
TNFAIP2	resistance	12	-1.444769214
GPRC5A	resistance	13	-1.437408067
F3	resistance	14	-1.434852142
MMP7	resistance	15	-1.420227287
ELF3	resistance	16	-1.415037513
IGFBP3	resistance	17	-1.401441345
S100A2	resistance	18	-1.385081004
ANXA3	resistance	19	-1.383689799
EPS8L2	resistance	20	-1.371642969
S100A11	resistance	21	-1.356802609
CAV2	resistance	22	-1.345045793
IGFBP7	resistance	23	-1.341015231
TMPRSS4	resistance	24	-1.335323695
ALDH1A3	resistance	25	-1.327557347
LAMB3	resistance	26	-1.30986942
CLDN1	resistance	27	-1.308178157
TSPAN1	resistance	28	-1.277161438
IL18	resistance	29	-1.246906221
CDH3	resistance	30	-1.246706077
