gene_symbol	direction	rank_in_direction	delta
KIF1A	sensitivity	1	1.723973772
TMSB15A	sensitivity	2	1.685400262
MAGEA3	sensitivity	3	1.612768141
NELL2	sensitivity	4	1.512299099
MAGEA6	sensitivity	5	1.464638263
SLC6A15	sensitivity	6	1.456599493
IGFBPL1	sensitivity	7	1.404006209
CKB	sensitivity	8	1.403030537
UCHL1	sensitivity	9	1.402056929
BEX1	sensitivity	10	1.387286325
TUBB2B	sensitivity	11	1.347578768
CENPV	sensitivity	12	1.318855016
TCF4	sensitivity	13	1.302270362
BCL11A	sensitivity	14	1.292438532
RBP1	sensitivity	15	1.262220253
RCOR2	sensitivity	16	1.261161569
FXYD6	sensitivity	17	1.260457075
MEX3A	sensitivity	18	1.23190045
CRMP1	sensitivity	19	1.229663063
MAGEA2	sensitivity	20	1.19926752
DPYSL5	sensitivity	21	1.18803558
PRAME	sensitivity	22	1.184937977
CBX2	sensitivity	23	1.183774776
ZNF711	sensitivity	24	1.157399827
FSD1	sensitivity	25	1.148176435
KCNH2	sensitivity	26	1.140165482
CHGA	sensitivity	27	1.130848069
MAGEA2B	sensitivity	28	1.118590272
SNCA	sensitivity	29	1.113436501
MFAP2	sensitivity	30	1.112301877
S100A6	resistance	1	-2.276195629
KRT7	resistance	2	-2.179197212
KRT19	resistance	3	-2.148164274
LGALS3	resistance	4	-2.140885585
GPRC5A	resistance	5	-2.122807432
TGM2	resistance	6	-2.063933622
MYOF	resistance	7	-2.001082441
ITGA3	resistance	8	-1.967355723
TM4SF1	resistance	9	-1.894673473
KRT8	resistance	10	-1.881748891
MLPH	resistance	11	-1.855212185
C19ORF33	resistance	12	-1.844148479
PRSS23	resistance	13	-1.842069188
ABCC3	resistance	14	-1.823668294
S100A16	resistance	15	-1.776627212
PLAAT4	resistance	16	-1.747229129
CAV1	resistance	17	-1.711795586
CAVIN3	resistance	18	-1.711126643
S100A10	resistance	19	-1.693680487
MGST1	resistance	20	-1.690576885
NNMT	resistance	21	-1.688663101
DKK1	resistance	22	-1.686794821
VAMP5	resistance	23	-1.669124686
EPS8L2	resistance	24	-1.654390734
CAV2	resistance	25	-1.647720361
FN1	resistance	26	-1.647566671
KRT18	resistance	27	-1.64319517
MVP	resistance	28	-1.623365238
CD44	resistance	29	-1.61224693
TGFBI	resistance	30	-1.60342369
