gene_symbol	direction	rank_in_direction	delta
RBP1	sensitivity	1	1.526328645
IGF2	sensitivity	2	1.326139914
CRABP2	sensitivity	3	1.241496964
COL3A1	sensitivity	4	1.212726231
FBLN1	sensitivity	5	1.184203707
KIF1A	sensitivity	6	1.18225133
APLP1	sensitivity	7	1.076474796
SYCP2	sensitivity	8	1.062052037
BASP1	sensitivity	9	1.052483847
MACROH2A2	sensitivity	10	1.039514693
LIMD2	sensitivity	11	1.033489703
TMSB15A	sensitivity	12	1.025359278
NREP	sensitivity	13	1.017882519
TMEM156	sensitivity	14	1.002731196
TUBA1A	sensitivity	15	0.9974477324
CDKN2A	sensitivity	16	0.9927624784
DTX3	sensitivity	17	0.9635270942
FN1	sensitivity	18	0.9520335474
NFATC4	sensitivity	19	0.9365866866
TEAD2	sensitivity	20	0.9173958377
NOTCH3	sensitivity	21	0.9169835947
NDN	sensitivity	22	0.9151998826
TNNT1	sensitivity	23	0.9039244707
IGFBPL1	sensitivity	24	0.8962589687
APOE	sensitivity	25	0.893153177
LBH	sensitivity	26	0.8919271073
MFAP2	sensitivity	27	0.8863208259
GPC2	sensitivity	28	0.8836365667
VANGL2	sensitivity	29	0.8822977866
MDK	sensitivity	30	0.8800458292
MGST1	resistance	1	-1.491051265
HKDC1	resistance	2	-1.258811703
CD70	resistance	3	-1.092420808
MET	resistance	4	-1.092418779
MSLN	resistance	5	-1.083974223
CYBA	resistance	6	-1.078790486
GSTP1	resistance	7	-1.063182536
ARSL	resistance	8	-1.060824352
PPARG	resistance	9	-1.045171415
S100A6	resistance	10	-1.029795689
CTAG2	resistance	11	-1.020559392
CAPG	resistance	12	-1.006956072
BACE2	resistance	13	-0.9992489849
AKR1B10	resistance	14	-0.9855852096
GCNT3	resistance	15	-0.9809740989
AKR1C3	resistance	16	-0.972552401
GAS6	resistance	17	-0.9609223825
CD74	resistance	18	-0.9566173312
CD68	resistance	19	-0.9505085739
ALDH3A1	resistance	20	-0.9477415666
LYZ	resistance	21	-0.9449524545
UGT8	resistance	22	-0.9342281707
PHGR1	resistance	23	-0.9321160454
RNF128	resistance	24	-0.9319421946
LGALS3BP	resistance	25	-0.9241764749
GDF15	resistance	26	-0.9148370324
GDA	resistance	27	-0.9019512013
TSPAN8	resistance	28	-0.9011038227
SLC16A5	resistance	29	-0.8994610428
REG4	resistance	30	-0.8920918599
