gene_symbol	direction	rank_in_direction	delta
CD24	sensitivity	1	1.385201572
UCHL1	sensitivity	2	1.362520955
EEF1A2	sensitivity	3	1.292554909
BEX1	sensitivity	4	1.177331407
TENM3	sensitivity	5	1.17052669
TUBB2B	sensitivity	6	1.163019807
COCH	sensitivity	7	1.162589957
MDK	sensitivity	8	1.160465021
THBS1	sensitivity	9	1.154699056
SERPINA1	sensitivity	10	1.104503087
NREP	sensitivity	11	1.088066733
GNAI1	sensitivity	12	1.083339446
CPE	sensitivity	13	1.083274818
CDKN2A	sensitivity	14	1.066519947
ME3	sensitivity	15	1.063982097
RHOBTB3	sensitivity	16	1.062745853
KIF1A	sensitivity	17	1.061301843
TGFB2	sensitivity	18	1.043809301
FXYD6	sensitivity	19	1.035173276
TMEM179	sensitivity	20	0.9901787116
CYP1B1	sensitivity	21	0.9834794788
KRT81	sensitivity	22	0.9829813838
IGFBPL1	sensitivity	23	0.975006652
CDC42EP3	sensitivity	24	0.9642018829
ANKRD1	sensitivity	25	0.9626543462
MEST	sensitivity	26	0.9623656052
TGM2	sensitivity	27	0.9577041606
CD74	sensitivity	28	0.9533356598
CKB	sensitivity	29	0.9489201018
ZSCAN18	sensitivity	30	0.9436939136
MMP1	resistance	1	-1.382780516
CDC42EP5	resistance	2	-0.9701538841
FXYD3	resistance	3	-0.948110908
NQO1	resistance	4	-0.9377209221
S100A16	resistance	5	-0.9111565044
S100A4	resistance	6	-0.8586808126
CA2	resistance	7	-0.8427186664
APOBEC3C	resistance	8	-0.8410879896
S100A14	resistance	9	-0.807670155
S100A11	resistance	10	-0.8069748469
HSPB6	resistance	11	-0.7969207732
PLTP	resistance	12	-0.7857934688
ECM1	resistance	13	-0.7570484959
LGALS3	resistance	14	-0.7494199568
ETV4	resistance	15	-0.7320758085
EMP1	resistance	16	-0.7282990935
SERPINB2	resistance	17	-0.7227493686
MMP14	resistance	18	-0.7195019616
SGK1	resistance	19	-0.7170502884
PYCARD	resistance	20	-0.7155136947
KCNE3	resistance	21	-0.7118622203
CCND1	resistance	22	-0.7095711266
TRIP6	resistance	23	-0.6902317929
SPP1	resistance	24	-0.6876959643
TM4SF1	resistance	25	-0.685398849
SLCO4A1	resistance	26	-0.6692577453
CES1	resistance	27	-0.6676395885
SLC2A3	resistance	28	-0.662430854
CRYAB	resistance	29	-0.6499836519
ANXA1	resistance	30	-0.642322074
