gene_symbol	direction	rank_in_direction	mean_rank
TMSB15A	sensitivity	1	2
BEX1	sensitivity	2	3
KIF1A	sensitivity	3	3
JAM3	sensitivity	4	4
TUBB2B	sensitivity	5	6
NELL2	sensitivity	6	7
TRO	sensitivity	7	10
TMEM98	sensitivity	8	11
FXYD6	sensitivity	9	12.5
PDZD4	sensitivity	10	17
FSD1	sensitivity	11	17.5
LIMD2	sensitivity	12	20
TUBA1A	sensitivity	13	20
CRMP1	sensitivity	14	21
DPYSL5	sensitivity	15	22
MEX3A	sensitivity	16	22
SEPTIN3	sensitivity	17	25
SEPTIN5	sensitivity	18	25
GPRC5A	resistance	1	4
KRT19	resistance	2	4
S100A16	resistance	3	4
ABCC3	resistance	4	5
C19ORF33	resistance	5	5
MGST1	resistance	6	5
TINAGL1	resistance	7	5.5
ANXA3	resistance	8	8.5
KRT8	resistance	9	10
TM4SF1	resistance	10	10.5
CLDN4	resistance	11	12.5
TGFBI	resistance	12	15
S100A6	resistance	13	16.5
KRT7	resistance	14	17
LGALS3	resistance	15	19
MYOF	resistance	16	19.5
IL18	resistance	17	20.5
ITGA3	resistance	18	21.5
CAPG	resistance	19	22
S100A10	resistance	20	22.5
ELF3	resistance	21	23.5
EPS8L2	resistance	22	25.5
TGM2	resistance	23	29
