gene_symbol	direction	rank_in_direction	delta
SLFN11	sensitivity	1	2.68948569
TMSB15A	sensitivity	2	1.830529049
KIF1A	sensitivity	3	1.818561617
BEX1	sensitivity	4	1.798558238
UCHL1	sensitivity	5	1.646876654
GNG4	sensitivity	6	1.545705988
FXYD6	sensitivity	7	1.472375202
JAM3	sensitivity	8	1.434884652
TCF4	sensitivity	9	1.430509362
SYP	sensitivity	10	1.41143736
SLC6A15	sensitivity	11	1.392795044
DPYSL5	sensitivity	12	1.376832826
TUBB2B	sensitivity	13	1.361035662
CPT1C	sensitivity	14	1.340564893
ITPRIPL1	sensitivity	15	1.333224168
KIF5C	sensitivity	16	1.328247332
TMEM98	sensitivity	17	1.302447635
FSD1	sensitivity	18	1.294219848
TRO	sensitivity	19	1.291385248
SALL2	sensitivity	20	1.256541239
SEPTIN3	sensitivity	21	1.256473785
RPS4Y1	sensitivity	22	1.25378071
MLLT11	sensitivity	23	1.253678295
CHGB	sensitivity	24	1.24286219
NCAM1	sensitivity	25	1.238533307
SV2A	sensitivity	26	1.236896493
NELL2	sensitivity	27	1.232664304
CRMP1	sensitivity	28	1.220516297
CENPV	sensitivity	29	1.219372784
INA	sensitivity	30	1.210064175
S100A16	resistance	1	-2.250134499
ABCC3	resistance	2	-2.206942478
KRT7	resistance	3	-2.197101504
C19ORF33	resistance	4	-2.135884305
THBS1	resistance	5	-2.050880863
MYOF	resistance	6	-2.02109995
LGALS3	resistance	7	-2.002739332
S100A10	resistance	8	-1.99350461
S100A6	resistance	9	-1.936435718
MGST1	resistance	10	-1.909404796
IGFBP7	resistance	11	-1.909286447
GPRC5A	resistance	12	-1.902805455
ITGA3	resistance	13	-1.873927495
TINAGL1	resistance	14	-1.864007356
S100A11	resistance	15	-1.860254582
KRT19	resistance	16	-1.83524909
TM4SF1	resistance	17	-1.827531403
ANXA3	resistance	18	-1.808105216
CAV1	resistance	19	-1.782181583
CD44	resistance	20	-1.749487224
AKR1C3	resistance	21	-1.700023162
TGFBI	resistance	22	-1.699662055
PRSS23	resistance	23	-1.675434306
CAV2	resistance	24	-1.656968408
F3	resistance	25	-1.646244586
KRT8	resistance	26	-1.642941653
EPS8L2	resistance	27	-1.641175295
ANXA1	resistance	28	-1.633746216
IL18	resistance	29	-1.594717562
NNMT	resistance	30	-1.575771463
