gene_symbol	direction	rank_in_direction	delta
GDF15	sensitivity	1	2.766814155
S100B	sensitivity	2	2.70937335
CD74	sensitivity	3	2.640750076
ETV4	sensitivity	4	2.529797119
FXYD5	sensitivity	5	2.501457924
S100A6	sensitivity	6	2.489682026
PLAT	sensitivity	7	2.411898149
SPRY4	sensitivity	8	2.380307473
LGALS3	sensitivity	9	2.376170022
DUSP6	sensitivity	10	2.373391371
SPRY2	sensitivity	11	2.369317778
CXCL1	sensitivity	12	2.302756172
NPAS2	sensitivity	13	2.259484748
NT5E	sensitivity	14	2.247049276
MIA	sensitivity	15	2.238101483
ITGA6	sensitivity	16	2.234217212
TNFRSF14	sensitivity	17	2.229108835
IER3	sensitivity	18	2.221143332
TGFBI	sensitivity	19	2.190236745
CCL20	sensitivity	20	2.182814035
FOSL1	sensitivity	21	2.17736529
MBP	sensitivity	22	2.157481421
CAVIN3	sensitivity	23	2.154063188
CD44	sensitivity	24	2.151473266
PMEL	sensitivity	25	2.141152708
CXCL8	sensitivity	26	2.135903118
SOX10	sensitivity	27	2.131776461
HLA-DRA	sensitivity	28	2.1231135
SERPINE2	sensitivity	29	2.091515422
PLP1	sensitivity	30	2.020069353
BASP1	resistance	1	-2.593381884
UCHL1	resistance	2	-2.514274382
EVL	resistance	3	-2.322937479
PXDN	resistance	4	-2.30530584
CPE	resistance	5	-2.258512062
IGFBP5	resistance	6	-2.14203509
STC2	resistance	7	-2.034356243
SAMD11	resistance	8	-2.027357418
CD24	resistance	9	-1.979034054
LDOC1	resistance	10	-1.94190358
FBLN1	resistance	11	-1.900471323
FADS2	resistance	12	-1.844671738
UCP2	resistance	13	-1.825216956
EFHD1	resistance	14	-1.792075146
EML1	resistance	15	-1.787506701
PEG10	resistance	16	-1.76120251
CLU	resistance	17	-1.755094645
TMEM25	resistance	18	-1.716792685
ZSCAN18	resistance	19	-1.712883788
TCF4	resistance	20	-1.709296636
SDC2	resistance	21	-1.667495551
GLUL	resistance	22	-1.654332298
DPYSL5	resistance	23	-1.635301423
ACKR3	resistance	24	-1.606646997
PHGDH	resistance	25	-1.59988553
PBX1	resistance	26	-1.572618943
ADD2	resistance	27	-1.54654785
THY1	resistance	28	-1.538020667
TP53I11	resistance	29	-1.534758739
FHL1	resistance	30	-1.520501145
