gene_symbol	direction	rank_in_direction	delta
KIF1A	sensitivity	1	2.086285638
TMSB15A	sensitivity	2	1.91861188
NELL2	sensitivity	3	1.803720478
TUBB2B	sensitivity	4	1.747321566
MEX3A	sensitivity	5	1.614143133
BEX1	sensitivity	6	1.561593114
IGFBPL1	sensitivity	7	1.474747104
DPYSL5	sensitivity	8	1.472528752
RCOR2	sensitivity	9	1.440998692
TCF4	sensitivity	10	1.41607425
JAM3	sensitivity	11	1.410001787
FSD1	sensitivity	12	1.405437147
KCNQ2	sensitivity	13	1.389921033
SYP	sensitivity	14	1.378700665
SV2A	sensitivity	15	1.356719982
FXYD6	sensitivity	16	1.355623121
ZNF711	sensitivity	17	1.35264075
GSTA4	sensitivity	18	1.350843913
CKB	sensitivity	19	1.329940753
INSM1	sensitivity	20	1.318208317
CBX2	sensitivity	21	1.311580084
CBS	sensitivity	22	1.304660346
MAGEA3	sensitivity	23	1.301012164
UCHL1	sensitivity	24	1.292415908
HES6	sensitivity	25	1.285099976
SLC6A15	sensitivity	26	1.282261527
RGS16	sensitivity	27	1.280152214
SEPTIN3	sensitivity	28	1.275609957
KIF5C	sensitivity	29	1.262477741
PODXL2	sensitivity	30	1.260836724
TGM2	resistance	1	-2.818261775
TGFBI	resistance	2	-2.674209784
GPRC5A	resistance	3	-2.664700432
S100A6	resistance	4	-2.614774339
KRT7	resistance	5	-2.515978063
TM4SF1	resistance	6	-2.500424606
CAV1	resistance	7	-2.496941591
C19ORF33	resistance	8	-2.492592143
ABCC3	resistance	9	-2.355814864
LGALS3	resistance	10	-2.309981403
MYOF	resistance	11	-2.292186762
S100A16	resistance	12	-2.284774958
THBS1	resistance	13	-2.281782971
S100A10	resistance	14	-2.254186051
ITGA3	resistance	15	-2.233214663
KRT19	resistance	16	-2.228648954
ANXA3	resistance	17	-2.227016454
CAVIN3	resistance	18	-2.18097793
NNMT	resistance	19	-2.113462872
MGST1	resistance	20	-2.050977682
S100A11	resistance	21	-2.049811971
KRT8	resistance	22	-2.034484903
MLPH	resistance	23	-2.030334448
EFEMP1	resistance	24	-2.026361028
CAV2	resistance	25	-2.017418693
TINAGL1	resistance	26	-1.98798325
DKK1	resistance	27	-1.986727398
IGFBP7	resistance	28	-1.974986546
SERPINE1	resistance	29	-1.972453147
F3	resistance	30	-1.945018559
