gene_symbol	direction	rank_in_direction	delta
KIF1A	sensitivity	1	2.001243432
FXYD6	sensitivity	2	1.782103559
HES6	sensitivity	3	1.644091057
KCNH2	sensitivity	4	1.629721848
DDC	sensitivity	5	1.584244835
SBK1	sensitivity	6	1.581516477
TMSB15A	sensitivity	7	1.581286472
MEX3A	sensitivity	8	1.537133805
WNK2	sensitivity	9	1.515125258
TUBB2B	sensitivity	10	1.50015289
DPYSL5	sensitivity	11	1.481739044
INSM1	sensitivity	12	1.454148502
CKMT1B	sensitivity	13	1.451266088
MAPT	sensitivity	14	1.447449558
RGS16	sensitivity	15	1.433313704
MYCN	sensitivity	16	1.42992706
BEX1	sensitivity	17	1.424802323
CPLX2	sensitivity	18	1.415617783
CBX2	sensitivity	19	1.410342012
ASRGL1	sensitivity	20	1.406831523
MARCKSL1	sensitivity	21	1.401607532
SYP	sensitivity	22	1.401139707
KIF5C	sensitivity	23	1.400254628
NELL2	sensitivity	24	1.392521573
CNTFR	sensitivity	25	1.389668358
GNG4	sensitivity	26	1.387808548
CKMT1A	sensitivity	27	1.38389666
CHGB	sensitivity	28	1.372112261
MCF2L	sensitivity	29	1.37043319
CHGA	sensitivity	30	1.369918322
CAV1	resistance	1	-3.506863282
TGFBI	resistance	2	-2.955698316
MYOF	resistance	3	-2.835777695
S100A6	resistance	4	-2.799335064
CAV2	resistance	5	-2.791729121
ANXA1	resistance	6	-2.767913434
FOSL1	resistance	7	-2.76441341
TM4SF1	resistance	8	-2.591693875
NNMT	resistance	9	-2.575963925
LGALS1	resistance	10	-2.565046938
CD44	resistance	11	-2.510219445
SERPINE1	resistance	12	-2.492201022
EMP1	resistance	13	-2.484974494
IGFBP3	resistance	14	-2.481602074
THBS1	resistance	15	-2.423653178
ITGA3	resistance	16	-2.326331295
S100A10	resistance	17	-2.302933253
EFEMP1	resistance	18	-2.302388504
CCN1	resistance	19	-2.295023432
DKK1	resistance	20	-2.294578387
IGFBP7	resistance	21	-2.291478379
P3H2	resistance	22	-2.278213805
AXL	resistance	23	-2.276782234
CAVIN1	resistance	24	-2.263043567
IGFBP6	resistance	25	-2.226745032
CAVIN3	resistance	26	-2.222076112
NT5E	resistance	27	-2.205602996
PLAU	resistance	28	-2.189280031
F3	resistance	29	-2.150712616
TFPI2	resistance	30	-2.149608625
