gene_symbol	direction	rank_in_direction	delta
CDH11	sensitivity	1	1.001679316
PRRX1	sensitivity	2	0.973375009
COL5A1	sensitivity	3	0.9606876576
HGF	sensitivity	4	0.8835581438
DDR2	sensitivity	5	0.8805935798
COL1A1	sensitivity	6	0.8754763279
MLLT11	sensitivity	7	0.737656162
PDGFRB	sensitivity	8	0.6844690166
PDGFRA	sensitivity	9	0.6762838937
SCG5	sensitivity	10	0.6280187922
CREB3L1	sensitivity	11	0.6146997522
ADGRA2	sensitivity	12	0.5992450683
ROBO1	sensitivity	13	0.5854886862
GLI1	sensitivity	14	0.5566834096
ETV1	sensitivity	15	0.549155629
EPHA5	sensitivity	16	0.5385574839
SEPTIN5	sensitivity	17	0.5072871045
FGFR1	sensitivity	18	0.4999086464
ID3	sensitivity	19	0.4987370198
ZNF521	sensitivity	20	0.496336406
PTCH1	sensitivity	21	0.4806960162
KDM5D	sensitivity	22	0.4743207841
AXIN2	sensitivity	23	0.4711129668
TTL	sensitivity	24	0.4625242573
ELN	sensitivity	25	0.455870372
MAGED1	sensitivity	26	0.4429866218
FYN	sensitivity	27	0.4330161365
EBF1	sensitivity	28	0.4288763087
TBX3	sensitivity	29	0.4216009897
SOX9	sensitivity	30	0.414038467
MAL2	resistance	1	-1.393122952
ELF3	resistance	2	-1.298331276
EPCAM	resistance	3	-1.14673393
PRSS8	resistance	4	-1.106543893
TACSTD2	resistance	5	-1.000572314
GRB7	resistance	6	-0.9545408866
CDH1	resistance	7	-0.9514894731
ERBB3	resistance	8	-0.7389543827
PLK2	resistance	9	-0.6686617912
PAX8	resistance	10	-0.6666298745
MST1R	resistance	11	-0.650933878
ALDH1A3	resistance	12	-0.6030345649
PTPN6	resistance	13	-0.5953098893
VTCN1	resistance	14	-0.5659140351
VAV1	resistance	15	-0.5547591128
HTATIP2	resistance	16	-0.5267084972
FOLR1	resistance	17	-0.5260694154
FGFR4	resistance	18	-0.5203865462
TRIB3	resistance	19	-0.5130071182
TNFSF13	resistance	20	-0.5011506076
ERBB2	resistance	21	-0.4936790038
SDC4	resistance	22	-0.4917565472
MUC1	resistance	23	-0.4827547709
SLC34A2	resistance	24	-0.4359048731
KLF5	resistance	25	-0.4342523528
PDGFB	resistance	26	-0.4195363637
HNF1B	resistance	27	-0.409977455
CBLC	resistance	28	-0.4073169167
MAP3K21	resistance	29	-0.4004160683
POU5F1	resistance	30	-0.3933042401
