gene_symbol	direction	rank_in_direction	delta
UCHL1	sensitivity	1	0.8945733583
ETV1	sensitivity	2	0.6519119606
ROBO1	sensitivity	3	0.5808608996
CDH11	sensitivity	4	0.5522464525
BRSK1	sensitivity	5	0.5417388167
EPHA7	sensitivity	6	0.5385541338
DLL3	sensitivity	7	0.5081719179
PTK7	sensitivity	8	0.4963994951
MLLT11	sensitivity	9	0.4653267922
SLIT2	sensitivity	10	0.4641356273
MYCN	sensitivity	11	0.4483951213
SEPTIN5	sensitivity	12	0.4353767787
ONECUT2	sensitivity	13	0.4339844551
PSIP1	sensitivity	14	0.4204636896
GAB2	sensitivity	15	0.418151734
PGBD5	sensitivity	16	0.416133841
PRRX1	sensitivity	17	0.4021422345
FYN	sensitivity	18	0.384737258
LGR5	sensitivity	19	0.3699453021
AXIN2	sensitivity	20	0.3677055887
ASCL1	sensitivity	21	0.3653008997
ELN	sensitivity	22	0.3643726999
EPHA3	sensitivity	23	0.3642229629
ZNF521	sensitivity	24	0.3641047777
PTPN13	sensitivity	25	0.3603675839
SMARCA4	sensitivity	26	0.3575745053
INSR	sensitivity	27	0.3550344462
ADGRA2	sensitivity	28	0.3513592127
GATA2	sensitivity	29	0.3474832867
PTPRS	sensitivity	30	0.3470782074
CAV1	resistance	1	-0.8950384025
TACSTD2	resistance	2	-0.7439134277
ABCC3	resistance	3	-0.6791527651
ELF3	resistance	4	-0.5565006215
EGFR	resistance	5	-0.5130130958
AXL	resistance	6	-0.5084135959
ERRFI1	resistance	7	-0.5048120661
APOBEC3B	resistance	8	-0.4998371968
HTATIP2	resistance	9	-0.4634812717
NQO1	resistance	10	-0.4621784864
GADD45B	resistance	11	-0.4321729106
PLK2	resistance	12	-0.4269238222
HFE	resistance	13	-0.426528747
RUNX1	resistance	14	-0.4120094714
CD74	resistance	15	-0.402528007
EPAS1	resistance	16	-0.3929769046
MET	resistance	17	-0.3927983297
PPARG	resistance	18	-0.3925139913
WWTR1	resistance	19	-0.3823077403
ERBB3	resistance	20	-0.372389266
PRSS8	resistance	21	-0.3722032235
YAP1	resistance	22	-0.3693556497
CD274	resistance	23	-0.3573006906
DKK1	resistance	24	-0.3566435656
ZFP36L1	resistance	25	-0.3376408753
NDRG1	resistance	26	-0.3370371391
STAT6	resistance	27	-0.3346573588
PDGFB	resistance	28	-0.3333868368
SAMD9L	resistance	29	-0.3333631375
RRAS	resistance	30	-0.3320813536
