gene_symbol	direction	rank_in_direction	delta
DKK1	sensitivity	1	1.091436125
HLA-C	sensitivity	2	0.6557556688
FSTL1	sensitivity	3	0.5676068918
HLA-B	sensitivity	4	0.565400452
CREB3L1	sensitivity	5	0.505958571
CARD11	sensitivity	6	0.4998313034
AXIN2	sensitivity	7	0.4971604432
COL1A1	sensitivity	8	0.4905088178
FSTL3	sensitivity	9	0.4867301337
CDH11	sensitivity	10	0.4449829556
PRSS8	sensitivity	11	0.4347435997
ERBB2	sensitivity	12	0.4340894002
FOLR1	sensitivity	13	0.4256968355
RNF43	sensitivity	14	0.4247452924
CCND2	sensitivity	15	0.4129904788
IL7R	sensitivity	16	0.4110489242
CBLC	sensitivity	17	0.4103777522
TLE4	sensitivity	18	0.4065812957
CEBPA	sensitivity	19	0.4001911461
SFRP1	sensitivity	20	0.3920299881
NOTCH3	sensitivity	21	0.3882968168
COL5A1	sensitivity	22	0.3811329058
EPCAM	sensitivity	23	0.3787899422
NEGR1	sensitivity	24	0.3705794375
GATA6	sensitivity	25	0.3658746616
CDH1	sensitivity	26	0.3481117072
MYC	sensitivity	27	0.3415918673
TMPRSS2	sensitivity	28	0.3356577607
SLC45A3	sensitivity	29	0.3330742537
HMGA2	sensitivity	30	0.3322511941
TUSC3	resistance	1	-0.5323270058
ETV1	resistance	2	-0.427454911
HOXA9	resistance	3	-0.4093752405
UCHL1	resistance	4	-0.4052965369
NFIB	resistance	5	-0.3798014136
NQO1	resistance	6	-0.3790174435
PAX8	resistance	7	-0.368397576
PDK1	resistance	8	-0.3630204298
PTPN13	resistance	9	-0.34567755
TP63	resistance	10	-0.3352925082
BAALC	resistance	11	-0.3290378543
SMARCA2	resistance	12	-0.3267844665
BCL11A	resistance	13	-0.3218131305
CDKN2C	resistance	14	-0.3153491305
WDR90	resistance	15	-0.2967536535
HOXD11	resistance	16	-0.2950816696
SMARCA1	resistance	17	-0.2899128518
ELN	resistance	18	-0.2858084545
SERP2	resistance	19	-0.2855608569
MLLT11	resistance	20	-0.2842886822
RTEL1	resistance	21	-0.2826632553
BCL2	resistance	22	-0.278165261
TYMS	resistance	23	-0.2775733197
GREM1	resistance	24	-0.2757038635
ASCL1	resistance	25	-0.2745884299
CAV1	resistance	26	-0.2683564204
FGF12	resistance	27	-0.2671982868
SESN3	resistance	28	-0.2666262305
CTC1	resistance	29	-0.2655962776
SMAD4	resistance	30	-0.2653370982
