gene_symbol	direction	rank_in_direction	delta
HMGA2	sensitivity	1	1.67380896
SOX10	sensitivity	2	1.305787993
SH2B3	sensitivity	3	1.184269556
CAV1	sensitivity	4	1.136435758
MITF	sensitivity	5	1.081639342
CD74	sensitivity	6	1.052640751
SGK1	sensitivity	7	1.047073741
TNFRSF14	sensitivity	8	1.017083034
WWTR1	sensitivity	9	0.9897785124
GAS7	sensitivity	10	0.9531022972
AXL	sensitivity	11	0.9147373463
DUSP4	sensitivity	12	0.8986334353
CD70	sensitivity	13	0.8697731155
ETV1	sensitivity	14	0.8307349009
AKT3	sensitivity	15	0.8095512391
ETV5	sensitivity	16	0.7902531401
INHBA	sensitivity	17	0.7751348246
PAX3	sensitivity	18	0.7656983565
RAC2	sensitivity	19	0.7316603846
TGFBR2	sensitivity	20	0.7242046148
ETV4	sensitivity	21	0.6855528358
GSTO1	sensitivity	22	0.6829874326
ETS1	sensitivity	23	0.6750783056
APOBEC3B	sensitivity	24	0.6677215232
LEF1	sensitivity	25	0.6509988942
NFATC2	sensitivity	26	0.6505747178
IRS2	sensitivity	27	0.6434205016
IL7R	sensitivity	28	0.6236252288
HMGA1	sensitivity	29	0.6135304103
ROBO1	sensitivity	30	0.6056841871
TACSTD2	resistance	1	-1.698325358
ELF3	resistance	2	-1.42172395
PRSS8	resistance	3	-1.410572427
EPCAM	resistance	4	-1.28459799
CDH1	resistance	5	-1.208113913
UCHL1	resistance	6	-1.199560718
MUC1	resistance	7	-1.176153541
NOTCH3	resistance	8	-1.159423975
ACKR3	resistance	9	-1.155374703
MAL2	resistance	10	-1.079922581
PBX1	resistance	11	-1.009296773
CBLC	resistance	12	-1.001981757
SYK	resistance	13	-0.9205229754
TP63	resistance	14	-0.8896657433
GRB7	resistance	15	-0.8691336121
FGFR3	resistance	16	-0.8387088784
COL1A1	resistance	17	-0.8272299819
FGFR2	resistance	18	-0.7610351058
MST1R	resistance	19	-0.7541063907
FOXA1	resistance	20	-0.7492655076
DDR1	resistance	21	-0.7208810881
VTCN1	resistance	22	-0.6845089104
CEBPA	resistance	23	-0.681039803
ABCC3	resistance	24	-0.6763477004
PTK7	resistance	25	-0.6684768085
GATA2	resistance	26	-0.6529107532
NHERF1	resistance	27	-0.6134408166
ALDH2	resistance	28	-0.5866865783
PIK3R3	resistance	29	-0.5665030514
MYCN	resistance	30	-0.5638474235
