gene_symbol	direction	rank_in_direction	delta
CD74	sensitivity	1	0.8218014133
HMGA2	sensitivity	2	0.4786020623
RAC2	sensitivity	3	0.4411257179
GSTP1	sensitivity	4	0.4298480469
FLI1	sensitivity	5	0.3828282951
CCND2	sensitivity	6	0.3678983825
INHBA	sensitivity	7	0.350343251
HGF	sensitivity	8	0.3466492624
TNFRSF14	sensitivity	9	0.3295961677
TP53	sensitivity	10	0.3024384432
AIM2	sensitivity	11	0.298672039
ZNF703	sensitivity	12	0.2869608003
IL7R	sensitivity	13	0.2851195802
PTCH1	sensitivity	14	0.2819529447
SLFN11	sensitivity	15	0.278189047
POU2F2	sensitivity	16	0.2638216249
CIITA	sensitivity	17	0.2506599782
MYC	sensitivity	18	0.2449573145
DUSP2	sensitivity	19	0.2448525186
HOXD11	sensitivity	20	0.2426780232
BCL11A	sensitivity	21	0.2416402742
ANK1	sensitivity	22	0.2406756442
HOXA11	sensitivity	23	0.2371202481
ZNF521	sensitivity	24	0.2363887848
EPHA3	sensitivity	25	0.2258000076
ALDH1L2	sensitivity	26	0.2228897061
LZTS1	sensitivity	27	0.2218639202
FANCE	sensitivity	28	0.2177630737
ADGRA2	sensitivity	29	0.2137140635
COL5A1	sensitivity	30	0.2114607677
UCHL1	resistance	1	-0.5879863271
TUSC3	resistance	2	-0.4185857616
ELF3	resistance	3	-0.3925142845
ABCC3	resistance	4	-0.3829156815
IGF2	resistance	5	-0.3784335971
ACKR3	resistance	6	-0.362843549
CDH2	resistance	7	-0.3584339651
FAT1	resistance	8	-0.3583943163
TRIB3	resistance	9	-0.3463328587
GPC3	resistance	10	-0.3421596404
LCP1	resistance	11	-0.3366175416
EPAS1	resistance	12	-0.3359605417
NDRG1	resistance	13	-0.3180861753
ID1	resistance	14	-0.3148817577
MET	resistance	15	-0.3134118516
GRB7	resistance	16	-0.3106197754
SQSTM1	resistance	17	-0.2976798164
TLE2	resistance	18	-0.2940218255
SRC	resistance	19	-0.2923854422
FGFR1	resistance	20	-0.2898147864
DKK1	resistance	21	-0.278929746
CDH1	resistance	22	-0.2779272014
ELL2	resistance	23	-0.2778314687
NQO1	resistance	24	-0.2767115235
GADD45B	resistance	25	-0.2657784115
PDGFB	resistance	26	-0.2590622976
FOXA1	resistance	27	-0.2574171023
HTATIP2	resistance	28	-0.2537713738
CD70	resistance	29	-0.2537694258
MITF	resistance	30	-0.252142027
