gene_symbol	direction	rank_in_direction	delta
AXL	sensitivity	1	2.64603687
CAV1	sensitivity	2	2.595401496
EGFR	sensitivity	3	2.139884009
TACSTD2	sensitivity	4	1.922499709
FSTL1	sensitivity	5	1.868460072
INHBA	sensitivity	6	1.837559203
RAC2	sensitivity	7	1.703645693
BIRC3	sensitivity	8	1.688674118
PLK2	sensitivity	9	1.683495375
DKK1	sensitivity	10	1.677969267
DKK3	sensitivity	11	1.637058537
COL1A1	sensitivity	12	1.629676327
ALDH1A3	sensitivity	13	1.625287936
HMGA2	sensitivity	14	1.595907603
PAX8	sensitivity	15	1.506435737
SDC4	sensitivity	16	1.472620981
HLA-B	sensitivity	17	1.437605667
COL5A1	sensitivity	18	1.33635313
TGFBR2	sensitivity	19	1.300168292
AJUBA	sensitivity	20	1.297219696
SMAD3	sensitivity	21	1.254320218
ETS1	sensitivity	22	1.231697024
RRAS	sensitivity	23	1.217990613
IL7R	sensitivity	24	1.178395557
CD274	sensitivity	25	1.169631874
EPAS1	sensitivity	26	1.161679145
NRG1	sensitivity	27	1.147254141
WWTR1	sensitivity	28	1.135934172
MAL2	sensitivity	29	1.116498755
MSN	sensitivity	30	1.111174943
LEF1	resistance	1	-1.137290962
MSI2	resistance	2	-1.083775228
MYB	resistance	3	-1.076251116
TBX3	resistance	4	-1.067125391
SOX10	resistance	5	-1.029076135
DLL3	resistance	6	-1.0048214
ASCL1	resistance	7	-0.9746006229
AXIN2	resistance	8	-0.9638829362
HEY1	resistance	9	-0.9561506105
CACNA1D	resistance	10	-0.9371920857
POU3F2	resistance	11	-0.9149568269
ERBB3	resistance	12	-0.9054866146
GAS7	resistance	13	-0.8961240498
SEPTIN5	resistance	14	-0.8825962549
DUSP4	resistance	15	-0.8444368105
BCL2	resistance	16	-0.8413146627
PIK3R3	resistance	17	-0.8329184088
SOX2	resistance	18	-0.8250218396
CILK1	resistance	19	-0.7614473489
ZNF703	resistance	20	-0.7464199673
BAALC	resistance	21	-0.7442834371
RET	resistance	22	-0.7287930939
BCOR	resistance	23	-0.7256980192
HOXD13	resistance	24	-0.7065150538
TRIM24	resistance	25	-0.7042959023
TLE2	resistance	26	-0.7017953365
FOXA1	resistance	27	-0.7015760122
MLLT11	resistance	28	-0.6910965662
FGFR4	resistance	29	-0.6858924639
BTG2	resistance	30	-0.6795545987
