gene_symbol	direction	rank_in_direction	delta
DKK1	sensitivity	1	0.535881029
UCHL1	sensitivity	2	0.4881085642
FSTL1	sensitivity	3	0.4365259472
AKT3	sensitivity	4	0.413247483
GSTP1	sensitivity	5	0.4118399429
SFRP1	sensitivity	6	0.4091312422
HLA-A	sensitivity	7	0.4058296812
SLFN11	sensitivity	8	0.3739027684
FGF12	sensitivity	9	0.3595186279
FGF2	sensitivity	10	0.3338210578
SOX10	sensitivity	11	0.3308479508
ACKR3	sensitivity	12	0.3300389421
DKK3	sensitivity	13	0.3184704797
PLK2	sensitivity	14	0.3107166497
SLIT3	sensitivity	15	0.2962282754
SMO	sensitivity	16	0.2932656486
PAX3	sensitivity	17	0.2873436215
GAS7	sensitivity	18	0.2850537191
EGR1	sensitivity	19	0.2710101647
TGFBR1	sensitivity	20	0.2707224237
ALDH1A3	sensitivity	21	0.2582765763
H2BC4	sensitivity	22	0.2575599515
SGK1	sensitivity	23	0.2535867678
SESN3	sensitivity	24	0.2490462396
SEPTIN5	sensitivity	25	0.2413094535
ANK1	sensitivity	26	0.2383761147
ABL2	sensitivity	27	0.2370584404
HRAS	sensitivity	28	0.234435146
SAMD9	sensitivity	29	0.2299974257
QKI	sensitivity	30	0.2251330038
HMGA2	resistance	1	-0.732004123
EPCAM	resistance	2	-0.6287816609
ETV4	resistance	3	-0.5819827876
TMPRSS2	resistance	4	-0.511425366
VEGFA	resistance	5	-0.470512455
RUNX2	resistance	6	-0.4625793904
RAC2	resistance	7	-0.4454188527
SLC34A2	resistance	8	-0.4425122228
ETV1	resistance	9	-0.4405883697
SOX9	resistance	10	-0.4203020883
ETV5	resistance	11	-0.4201437941
PAX8	resistance	12	-0.4181640212
HOXA9	resistance	13	-0.4129713791
IGF2	resistance	14	-0.4086340256
SCG5	resistance	15	-0.4072213534
TGFBR2	resistance	16	-0.403961139
FAT1	resistance	17	-0.4017695184
TRIB3	resistance	18	-0.3969892729
ERRFI1	resistance	19	-0.3930306342
LCK	resistance	20	-0.3839926076
ALDH2	resistance	21	-0.3823549702
MNX1	resistance	22	-0.3758006534
ALDH1L2	resistance	23	-0.3752727765
LCP1	resistance	24	-0.3696391238
ABCC3	resistance	25	-0.3548808676
FGFR3	resistance	26	-0.354328872
MLLT3	resistance	27	-0.3533049705
RNF43	resistance	28	-0.3501548182
HNF1B	resistance	29	-0.3419529564
ELF3	resistance	30	-0.3400121517
