gene_symbol	direction	rank_in_direction	delta
UCHL1	sensitivity	1	1.272824889
NOTCH3	sensitivity	2	0.9923394601
MLLT11	sensitivity	3	0.9144503929
HGF	sensitivity	4	0.8263029097
PTK7	sensitivity	5	0.819910193
SLFN11	sensitivity	6	0.8028701351
ID3	sensitivity	7	0.8026330707
BCL11A	sensitivity	8	0.7478478547
GATA2	sensitivity	9	0.7309323716
HOXD11	sensitivity	10	0.7174159162
SYK	sensitivity	11	0.6716536743
SALL4	sensitivity	12	0.6703034511
TUSC3	sensitivity	13	0.6158980813
FGFR3	sensitivity	14	0.6141642283
BUB1B	sensitivity	15	0.6109893506
GLI1	sensitivity	16	0.6029984452
LMO2	sensitivity	17	0.579180663
PSIP1	sensitivity	18	0.5722021929
PTPN13	sensitivity	19	0.5715966727
FANCE	sensitivity	20	0.5702711659
EPHA7	sensitivity	21	0.5640485626
PTCH1	sensitivity	22	0.5568596596
PASK	sensitivity	23	0.5520568824
PIK3R3	sensitivity	24	0.5512387055
ESCO2	sensitivity	25	0.5489153229
TP63	sensitivity	26	0.543294271
ALDH1L2	sensitivity	27	0.5413397288
WT1	sensitivity	28	0.5403712138
MSI1	sensitivity	29	0.5348804066
ADGRA2	sensitivity	30	0.5346964979
CD74	resistance	1	-1.568691281
AXL	resistance	2	-1.370104025
PLK2	resistance	3	-1.358953208
DKK1	resistance	4	-1.33986933
CAV1	resistance	5	-1.279672608
HLA-B	resistance	6	-1.210713119
RUNX1	resistance	7	-1.102970438
MET	resistance	8	-1.001750864
ABCC3	resistance	9	-0.9665416728
HLA-C	resistance	10	-0.9389218428
TNFRSF14	resistance	11	-0.9327004997
CARD11	resistance	12	-0.9285272971
ZFP36L1	resistance	13	-0.9071578146
HNF1B	resistance	14	-0.8573315554
ERBB3	resistance	15	-0.82902033
SDC4	resistance	16	-0.8279912797
TGFBR2	resistance	17	-0.8268400353
ELF3	resistance	18	-0.8179296795
BCL2L1	resistance	19	-0.7873029128
ETS1	resistance	20	-0.7722566147
GADD45B	resistance	21	-0.7667211324
INPP4B	resistance	22	-0.7615161401
SOX10	resistance	23	-0.7563177947
MITF	resistance	24	-0.7482870588
ARHGEF28	resistance	25	-0.7305398975
SMARCA2	resistance	26	-0.6900537912
RRAS	resistance	27	-0.6764075964
KLF2	resistance	28	-0.6682369888
MAL2	resistance	29	-0.6653836332
STAT6	resistance	30	-0.6603757925
