gene_symbol	direction	rank_in_direction	delta
ID3	sensitivity	1	1.059586193
ROBO1	sensitivity	2	1.034682506
SEPTIN5	sensitivity	3	1.03295259
SLFN11	sensitivity	4	1.02073651
HEY1	sensitivity	5	0.9087491644
TUSC3	sensitivity	6	0.8983911958
PTK7	sensitivity	7	0.8740302258
PTPRS	sensitivity	8	0.8283110845
DLL3	sensitivity	9	0.8217437207
BCL11A	sensitivity	10	0.8026195963
DDR2	sensitivity	11	0.7563422241
MLLT11	sensitivity	12	0.7549255289
HOXD13	sensitivity	13	0.7481881566
PIK3R3	sensitivity	14	0.7459915215
GATA2	sensitivity	15	0.7454579706
SMO	sensitivity	16	0.7358969753
ADGRA2	sensitivity	17	0.7187028342
EPHA7	sensitivity	18	0.7144343131
BTG2	sensitivity	19	0.7127056944
MYCN	sensitivity	20	0.7009452281
LZTS1	sensitivity	21	0.66638536
HGF	sensitivity	22	0.6598794871
PSIP1	sensitivity	23	0.6534309346
BRSK1	sensitivity	24	0.6445244752
ASCL1	sensitivity	25	0.6263446341
MSI1	sensitivity	26	0.6061301475
SESN1	sensitivity	27	0.6018055785
COL2A1	sensitivity	28	0.5926625719
SFRP1	sensitivity	29	0.5870225918
FYN	sensitivity	30	0.5857541454
ABCC3	resistance	1	-2.089752638
CAV1	resistance	2	-1.56301669
ELF3	resistance	3	-1.559125598
PPARG	resistance	4	-1.475162099
MET	resistance	5	-1.439539865
DKK1	resistance	6	-1.391521016
AXL	resistance	7	-1.353566494
MAL2	resistance	8	-1.296878829
HTATIP2	resistance	9	-1.237420654
EPCAM	resistance	10	-1.236273244
TACSTD2	resistance	11	-1.229548726
SDC4	resistance	12	-1.199810723
TGFBR2	resistance	13	-1.163365209
PLK2	resistance	14	-1.143818852
HNF1B	resistance	15	-1.120501503
BIRC3	resistance	16	-1.058972009
CDH1	resistance	17	-1.038429785
FOLR1	resistance	18	-1.034616182
KLF5	resistance	19	-1.02025114
BCL2L1	resistance	20	-0.9878993099
RUNX1	resistance	21	-0.9773568366
HLA-B	resistance	22	-0.9446198594
CD74	resistance	23	-0.9367919608
EPAS1	resistance	24	-0.9054413225
WWTR1	resistance	25	-0.8947009069
EGFR	resistance	26	-0.8853465955
NQO1	resistance	27	-0.8831532833
GADD45B	resistance	28	-0.8769081159
MST1R	resistance	29	-0.8764437756
PAX8	resistance	30	-0.8572368022
