gene_symbol	direction	rank_in_direction	delta
TACSTD2	sensitivity	1	3.339624917
MAL2	sensitivity	2	2.95117093
EPCAM	sensitivity	3	2.8146789
ELF3	sensitivity	4	2.714707506
CDH1	sensitivity	5	2.354914319
PRSS8	sensitivity	6	2.221863881
GRB7	sensitivity	7	1.94171747
MST1R	sensitivity	8	1.924407631
ALDH1A3	sensitivity	9	1.631622415
CBLC	sensitivity	10	1.62375735
KLF5	sensitivity	11	1.60234039
PTPN6	sensitivity	12	1.54118341
TP63	sensitivity	13	1.472676136
ERBB3	sensitivity	14	1.454071728
EGFR	sensitivity	15	1.211346137
FOXA1	sensitivity	16	1.127539818
PTK6	sensitivity	17	1.111594259
PPARG	sensitivity	18	1.027166622
FGFR2	sensitivity	19	0.9994885947
STAT6	sensitivity	20	0.9930736252
ERBB2	sensitivity	21	0.968960002
SYK	sensitivity	22	0.9640254382
FGFR3	sensitivity	23	0.9407899915
ABCC3	sensitivity	24	0.9291465402
VTCN1	sensitivity	25	0.9289449225
DDR1	sensitivity	26	0.8744731331
BIRC3	sensitivity	27	0.8684042018
RNF43	sensitivity	28	0.8526921579
DKK1	sensitivity	29	0.8125859242
MECOM	sensitivity	30	0.799641532
FGFR1	resistance	1	-1.79007008
DDR2	resistance	2	-1.724556694
CDH2	resistance	3	-1.642216005
CHN1	resistance	4	-1.543964281
UCHL1	resistance	5	-1.461869821
MLLT11	resistance	6	-1.426197576
COL5A1	resistance	7	-1.261978443
FYN	resistance	8	-1.253861817
SCG5	resistance	9	-1.198863724
CDH11	resistance	10	-1.166552473
CDKN2C	resistance	11	-1.153632985
PDGFRB	resistance	12	-1.147811109
PRRX1	resistance	13	-1.143360251
AKT3	resistance	14	-1.122196123
FGF2	resistance	15	-1.10636079
FSTL1	resistance	16	-1.064416253
LZTS1	resistance	17	-1.054816771
MAGED1	resistance	18	-1.049815005
CREB3L1	resistance	19	-1.049284415
SEPTIN5	resistance	20	-1.04921185
GREM1	resistance	21	-1.044964971
CD70	resistance	22	-0.9988114581
DKK3	resistance	23	-0.9717216906
BRSK1	resistance	24	-0.9475317101
COL1A1	resistance	25	-0.9412643181
ZNF521	resistance	26	-0.910144073
SH2B3	resistance	27	-0.8960122159
JAZF1	resistance	28	-0.8934058874
ETV1	resistance	29	-0.8879098567
PDGFRA	resistance	30	-0.8845518005
