gene_symbol	direction	rank_in_direction	delta
SLFN11	sensitivity	1	1.934568143
UCHL1	sensitivity	2	0.9860180686
ROBO1	sensitivity	3	0.9046471079
ID3	sensitivity	4	0.8640626972
MLLT11	sensitivity	5	0.8597013518
TUSC3	sensitivity	6	0.8399228917
DDR2	sensitivity	7	0.8352383311
SEPTIN5	sensitivity	8	0.7815710093
GATA2	sensitivity	9	0.7627165391
CHN1	sensitivity	10	0.7539245561
SMO	sensitivity	11	0.7229141971
CDKN2C	sensitivity	12	0.6755030887
CDH11	sensitivity	13	0.6485156578
HOXD13	sensitivity	14	0.6456111512
EPHA7	sensitivity	15	0.644180883
ADGRA2	sensitivity	16	0.6422484282
PSIP1	sensitivity	17	0.6339474924
PTK7	sensitivity	18	0.6035657066
PRRX1	sensitivity	19	0.5938412038
GLI1	sensitivity	20	0.5794131418
MYCN	sensitivity	21	0.5754448173
PTCH1	sensitivity	22	0.5716522851
HEY1	sensitivity	23	0.5693102208
TLE2	sensitivity	24	0.5659323622
BCL11A	sensitivity	25	0.5650061598
DNMT3A	sensitivity	26	0.5527490624
QKI	sensitivity	27	0.5512364804
BRSK1	sensitivity	28	0.5420447094
TBX3	sensitivity	29	0.5289555238
CDKN2A	sensitivity	30	0.5279505836
MAL2	resistance	1	-1.252239489
ABCC3	resistance	2	-1.205152216
ELF3	resistance	3	-1.056677283
CDH1	resistance	4	-1.052665503
EPCAM	resistance	5	-1.05030922
PRSS8	resistance	6	-0.9160215125
MET	resistance	7	-0.8778817266
CAV1	resistance	8	-0.8606037705
HTATIP2	resistance	9	-0.8461022958
PPARG	resistance	10	-0.8420028751
PLK2	resistance	11	-0.8277388895
TACSTD2	resistance	12	-0.8198724101
PAX8	resistance	13	-0.8154564789
PDGFB	resistance	14	-0.7811408483
HNF1B	resistance	15	-0.754447502
SDC4	resistance	16	-0.7244517522
ERBB3	resistance	17	-0.7179642964
MST1R	resistance	18	-0.7160259241
KLF5	resistance	19	-0.6783826074
CD74	resistance	20	-0.6708282129
TGFBR2	resistance	21	-0.669476525
FOLR1	resistance	22	-0.6250199935
BCL2L1	resistance	23	-0.6054991412
ALDH1A3	resistance	24	-0.600320013
EPAS1	resistance	25	-0.5979388162
PTPN6	resistance	26	-0.5879023843
GRB7	resistance	27	-0.5821028039
EGFR	resistance	28	-0.5781807471
PTK6	resistance	29	-0.5698147985
RUNX1	resistance	30	-0.5560880412
