gene_symbol	direction	rank_in_direction	delta
EPCAM	sensitivity	1	1.499902327
MST1R	sensitivity	2	1.164171965
TACSTD2	sensitivity	3	1.151433687
MAL2	sensitivity	4	1.095967202
PRSS8	sensitivity	5	1.04606412
CBLC	sensitivity	6	0.9683602581
CDH1	sensitivity	7	0.9629287894
ELF3	sensitivity	8	0.8601465857
TP63	sensitivity	9	0.8410020421
PTK6	sensitivity	10	0.7608767406
PTPN6	sensitivity	11	0.7572717026
GRB7	sensitivity	12	0.7457081975
CCND2	sensitivity	13	0.7446851402
SYK	sensitivity	14	0.7183728809
FGFR3	sensitivity	15	0.6794110518
ALDH2	sensitivity	16	0.6784816303
BCL11A	sensitivity	17	0.6589281752
KLF5	sensitivity	18	0.6493491969
CDX2	sensitivity	19	0.6487784633
MYC	sensitivity	20	0.6040613537
NOTCH3	sensitivity	21	0.5962391588
RNF43	sensitivity	22	0.585431537
CEBPA	sensitivity	23	0.573526987
MYCN	sensitivity	24	0.5639522611
BTG2	sensitivity	25	0.5521991766
MYB	sensitivity	26	0.5228902152
FOXA1	sensitivity	27	0.4971359509
INPP5D	sensitivity	28	0.4863931438
SOX9	sensitivity	29	0.4669237831
SERPINB3	sensitivity	30	0.4506472337
CDH2	resistance	1	-1.76268411
FSTL1	resistance	2	-1.457896549
DKK3	resistance	3	-1.381093478
AXL	resistance	4	-1.290887742
FGFR1	resistance	5	-1.262221473
AKT3	resistance	6	-1.226123243
MSN	resistance	7	-1.156667059
CAV1	resistance	8	-1.144439637
WWTR1	resistance	9	-1.094033209
ETS1	resistance	10	-1.092052136
COL1A1	resistance	11	-1.084043685
UCHL1	resistance	12	-1.075492707
HLA-B	resistance	13	-1.071204429
MITF	resistance	14	-1.042574557
CD70	resistance	15	-1.039223086
COL5A1	resistance	16	-1.027055188
FYN	resistance	17	-0.9893781034
SGK1	resistance	18	-0.9584159294
PLK2	resistance	19	-0.9446485692
PRKD1	resistance	20	-0.9317111649
SCG5	resistance	21	-0.9083102984
MAGED1	resistance	22	-0.8912900483
CSF1	resistance	23	-0.8875898479
TUSC3	resistance	24	-0.8800379525
SOX10	resistance	25	-0.8683011443
HLA-A	resistance	26	-0.8680699321
SFRP1	resistance	27	-0.8598003962
CDKN2A	resistance	28	-0.8346910402
MYBL1	resistance	29	-0.8346673964
FGF2	resistance	30	-0.8095125777
