gene_symbol	direction	rank_in_direction	delta
ALDH2	sensitivity	1	0.8780130366
H2BC12	sensitivity	2	0.8216096957
CXCR4	sensitivity	3	0.7467783654
ACKR3	sensitivity	4	0.7466678894
MAL2	sensitivity	5	0.7181300632
CARD11	sensitivity	6	0.6999889171
MUC1	sensitivity	7	0.6926146977
COL1A1	sensitivity	8	0.6841183011
TP53	sensitivity	9	0.6660138669
H2BC5	sensitivity	10	0.635369015
COL5A1	sensitivity	11	0.6150616621
AR	sensitivity	12	0.5623257965
NOTCH3	sensitivity	13	0.5562558367
H2AC6	sensitivity	14	0.5522875465
CREB3L1	sensitivity	15	0.5463103194
INHBA	sensitivity	16	0.5310810702
ERBB2	sensitivity	17	0.513909733
ABCC3	sensitivity	18	0.5100904451
GRB7	sensitivity	19	0.5079968445
EPHA3	sensitivity	20	0.4908277051
PBX1	sensitivity	21	0.4693427733
CACNA1D	sensitivity	22	0.4687618198
AXL	sensitivity	23	0.4656974382
FGFR4	sensitivity	24	0.4636783733
ZNF703	sensitivity	25	0.4552012153
RNF43	sensitivity	26	0.4524503987
AXIN2	sensitivity	27	0.4520734947
SOX9	sensitivity	28	0.4458094857
H1-2	sensitivity	29	0.4439984104
LIFR	sensitivity	30	0.4389467882
GSTP1	resistance	1	-0.8549311616
SGK1	resistance	2	-0.7819094112
CDKN2A	resistance	3	-0.6853914094
CAV1	resistance	4	-0.6740072082
SOX10	resistance	5	-0.6107440641
HOXA9	resistance	6	-0.5990625252
TUSC3	resistance	7	-0.5605193833
SOCS2	resistance	8	-0.5232146176
ABCB1	resistance	9	-0.4779262012
ARID3A	resistance	10	-0.4607329932
PAX3	resistance	11	-0.4589669581
DPYD	resistance	12	-0.4286382852
GREM1	resistance	13	-0.4227659725
RELN	resistance	14	-0.4219102909
AKT3	resistance	15	-0.416055602
LTK	resistance	16	-0.4091714909
GAS7	resistance	17	-0.4073232074
GATA2	resistance	18	-0.4052943455
CCND2	resistance	19	-0.3972432587
HOXA11	resistance	20	-0.3895609133
ERRFI1	resistance	21	-0.3853818204
TLX3	resistance	22	-0.384454722
TIGAR	resistance	23	-0.3833120054
LCP1	resistance	24	-0.3825288201
MDM2	resistance	25	-0.3623219259
EGFL7	resistance	26	-0.3550252253
HOXA3	resistance	27	-0.3543262413
MEF2C	resistance	28	-0.3514960605
ACSL6	resistance	29	-0.3498795098
PMAIP1	resistance	30	-0.3446429424
