gene_symbol	direction	rank_in_direction	delta
TACSTD2	sensitivity	1	2.541711145
MAL2	sensitivity	2	2.391445047
EPCAM	sensitivity	3	2.278454709
ELF3	sensitivity	4	2.168136245
CDH1	sensitivity	5	2.114865921
PRSS8	sensitivity	6	1.80109796
GRB7	sensitivity	7	1.724768157
MST1R	sensitivity	8	1.484655162
ERBB3	sensitivity	9	1.410237061
TP63	sensitivity	10	1.380498367
CBLC	sensitivity	11	1.318876513
PTPN6	sensitivity	12	1.317914051
KLF5	sensitivity	13	1.151188862
SYK	sensitivity	14	0.9652330694
DDR1	sensitivity	15	0.9546769376
RNF43	sensitivity	16	0.9532102309
FOXA1	sensitivity	17	0.8567625835
FGFR3	sensitivity	18	0.7923072406
PTK6	sensitivity	19	0.7907150694
FGFR2	sensitivity	20	0.7597277764
ERBB2	sensitivity	21	0.7527338156
ALDH1A3	sensitivity	22	0.7343334895
VTCN1	sensitivity	23	0.7083280716
BTG2	sensitivity	24	0.6972424021
SERPINB3	sensitivity	25	0.6839454556
MOB3B	sensitivity	26	0.6590325586
NOTCH3	sensitivity	27	0.6560560964
STAT6	sensitivity	28	0.5991542215
EGFR	sensitivity	29	0.5910955953
PDGFB	sensitivity	30	0.5909679543
FGFR1	resistance	1	-1.32771378
CDH2	resistance	2	-1.308755662
DDR2	resistance	3	-1.212593493
AXL	resistance	4	-1.134530512
FSTL1	resistance	5	-1.131375944
FGF2	resistance	6	-1.118909917
CREB3L1	resistance	7	-1.109965879
COL5A1	resistance	8	-1.055857558
CHN1	resistance	9	-1.044960398
CD70	resistance	10	-1.043555943
PDGFRB	resistance	11	-0.9774206164
COL1A1	resistance	12	-0.9516960212
MLLT11	resistance	13	-0.9298387429
UCHL1	resistance	14	-0.8815987944
PRRX1	resistance	15	-0.8730856463
AKT3	resistance	16	-0.8523519997
DKK3	resistance	17	-0.8507297706
FYN	resistance	18	-0.8497301205
CDKN2C	resistance	19	-0.849255747
SCG5	resistance	20	-0.8327283239
FGF5	resistance	21	-0.8134273269
CDH11	resistance	22	-0.7975431322
ETV1	resistance	23	-0.795542251
GREM1	resistance	24	-0.7887778565
MSN	resistance	25	-0.7857161024
CSF1	resistance	26	-0.7697021797
PDGFRA	resistance	27	-0.7140052302
SMARCA1	resistance	28	-0.7104690482
SH2B3	resistance	29	-0.6939604153
MYBL1	resistance	30	-0.66684288
