gene_symbol	direction	rank_in_direction	delta
SLFN11	sensitivity	1	2.244310096
MLLT11	sensitivity	2	0.8927825563
UCHL1	sensitivity	3	0.8133642979
EPHA7	sensitivity	4	0.7307871598
ROBO1	sensitivity	5	0.6410306233
PTCH1	sensitivity	6	0.5660523443
CHN1	sensitivity	7	0.5431404479
BCL11A	sensitivity	8	0.5411827951
PSIP1	sensitivity	9	0.5378916627
ASCL1	sensitivity	10	0.5237861501
HOXD13	sensitivity	11	0.5215709088
HEY1	sensitivity	12	0.5038523719
HOXD11	sensitivity	13	0.4951769097
BTG2	sensitivity	14	0.4610803898
PAX5	sensitivity	15	0.4513418508
MYCL	sensitivity	16	0.4439692996
PARP1	sensitivity	17	0.4393532323
CDKN2C	sensitivity	18	0.4349217692
BCL7A	sensitivity	19	0.4129026119
PASK	sensitivity	20	0.4098970179
MYCN	sensitivity	21	0.4063411971
GPHN	sensitivity	22	0.4049375206
BCOR	sensitivity	23	0.401369145
GATA2	sensitivity	24	0.3992864387
TUSC3	sensitivity	25	0.3984516634
MSI1	sensitivity	26	0.3954351121
POLE	sensitivity	27	0.3843829839
DOT1L	sensitivity	28	0.3834178987
PTK7	sensitivity	29	0.3797834613
BCL2	sensitivity	30	0.3796313405
DKK1	resistance	1	-1.349462598
ABCC3	resistance	2	-1.110503953
CAV1	resistance	3	-1.057511888
TACSTD2	resistance	4	-1.032451046
CDH1	resistance	5	-0.8517535677
PLK2	resistance	6	-0.8478102795
PRSS8	resistance	7	-0.843038183
FOLR1	resistance	8	-0.8141568328
SDC4	resistance	9	-0.7801277793
MUC1	resistance	10	-0.7436774472
AXL	resistance	11	-0.7329163
MAL2	resistance	12	-0.7191462325
TGFBR2	resistance	13	-0.7085222062
FSTL3	resistance	14	-0.7020265584
ZFP36L1	resistance	15	-0.682131451
COL1A1	resistance	16	-0.6782368206
ELF3	resistance	17	-0.6671203735
FSTL1	resistance	18	-0.6667522215
MET	resistance	19	-0.6422747347
YAP1	resistance	20	-0.6294411862
EPCAM	resistance	21	-0.6293965071
EGFR	resistance	22	-0.6263219257
RUNX1	resistance	23	-0.6207827897
GADD45B	resistance	24	-0.6135857482
ALDH1A3	resistance	25	-0.602033502
NQO1	resistance	26	-0.5961251724
ERBB2	resistance	27	-0.5860315131
PPARG	resistance	28	-0.5777276641
AJUBA	resistance	29	-0.5775420705
H2AC6	resistance	30	-0.5755163084
