gene_symbol	direction	rank_in_direction	delta
ALB	sensitivity	1	0.5720222254
CDH11	sensitivity	2	0.52345299
EPHA7	sensitivity	3	0.5010566556
IGF2	sensitivity	4	0.460012697
PDGFRA	sensitivity	5	0.4308798433
PCLO	sensitivity	6	0.3863573918
ROBO1	sensitivity	7	0.3724662667
SCG5	sensitivity	8	0.364682845
TBX3	sensitivity	9	0.3577964087
ZNF521	sensitivity	10	0.3459770739
COL2A1	sensitivity	11	0.3373073525
HLF	sensitivity	12	0.3190026924
CEBPA	sensitivity	13	0.3167729111
A1CF	sensitivity	14	0.3152709414
GPC3	sensitivity	15	0.3115972462
ELN	sensitivity	16	0.2985124201
FGF9	sensitivity	17	0.2917472727
AFF3	sensitivity	18	0.2893995804
RELN	sensitivity	19	0.2846824713
HSD17B2	sensitivity	20	0.2715682016
RUNX1T1	sensitivity	21	0.2658956306
FGFR4	sensitivity	22	0.2526941985
MLH1	sensitivity	23	0.251828038
CXCR4	sensitivity	24	0.2464582147
DKK2	sensitivity	25	0.2451652059
ARID3A	sensitivity	26	0.2421161544
MYCN	sensitivity	27	0.2417370061
SETBP1	sensitivity	28	0.2347623952
XBP1	sensitivity	29	0.2345644888
ETV1	sensitivity	30	0.2338175081
DKK1	resistance	1	-0.87387993
CAV1	resistance	2	-0.8632610049
CD70	resistance	3	-0.8401932643
GSTP1	resistance	4	-0.7984173535
PPARG	resistance	5	-0.623740174
ALDH1A3	resistance	6	-0.6199793777
MST1R	resistance	7	-0.5612194069
FSTL1	resistance	8	-0.5531885135
SFRP1	resistance	9	-0.5375036293
KLF5	resistance	10	-0.5143616873
MSN	resistance	11	-0.4560237573
CD74	resistance	12	-0.4167616721
TACSTD2	resistance	13	-0.4164070726
MITF	resistance	14	-0.40369219
MET	resistance	15	-0.390237525
ZFP36L1	resistance	16	-0.3849452114
AXL	resistance	17	-0.3680676153
NQO1	resistance	18	-0.3658794848
FAS	resistance	19	-0.3505811534
SGK1	resistance	20	-0.3503960216
ELF3	resistance	21	-0.3478011845
FSTL3	resistance	22	-0.3444495323
SDC4	resistance	23	-0.341667981
PLK2	resistance	24	-0.3340055693
SMAD3	resistance	25	-0.3261287214
ABCC3	resistance	26	-0.3023455
MUC1	resistance	27	-0.2919223647
RASGEF1A	resistance	28	-0.288574155
NFATC2	resistance	29	-0.2872159202
IL7R	resistance	30	-0.2782180728
