gene_symbol	direction	rank_in_direction	delta
EPCAM	sensitivity	1	3.028181809
CDH1	sensitivity	2	2.889287677
MAL2	sensitivity	3	2.879781265
ELF3	sensitivity	4	2.700005522
TACSTD2	sensitivity	5	2.698673526
PRSS8	sensitivity	6	2.36577365
GRB7	sensitivity	7	2.048520971
CBLC	sensitivity	8	1.825727715
MST1R	sensitivity	9	1.653010583
ERBB3	sensitivity	10	1.651195059
TP63	sensitivity	11	1.592654526
PTPN6	sensitivity	12	1.567533697
SYK	sensitivity	13	1.37993365
FOXA1	sensitivity	14	1.365719273
KLF5	sensitivity	15	1.331234537
RNF43	sensitivity	16	1.281319364
DDR1	sensitivity	17	1.139507796
FGFR3	sensitivity	18	1.120325816
VTCN1	sensitivity	19	1.039121324
PTK6	sensitivity	20	1.035097352
FGFR2	sensitivity	21	1.017720762
BTG2	sensitivity	22	1.016191125
NOTCH3	sensitivity	23	0.998267705
CEBPA	sensitivity	24	0.9558763045
MUC1	sensitivity	25	0.9365691896
ERBB2	sensitivity	26	0.8438181837
HTATIP2	sensitivity	27	0.8249221266
MOB3B	sensitivity	28	0.8243289924
SERPINB3	sensitivity	29	0.8231143241
MYCL	sensitivity	30	0.7624259732
FSTL1	resistance	1	-1.946610884
FGFR1	resistance	2	-1.815988506
AXL	resistance	3	-1.791684223
CDH2	resistance	4	-1.692613076
CD70	resistance	5	-1.680064862
MSN	resistance	6	-1.5937122
FGF2	resistance	7	-1.423314674
DKK3	resistance	8	-1.394445711
DDR2	resistance	9	-1.38553235
ETS1	resistance	10	-1.352299807
AKT3	resistance	11	-1.335506376
SH2B3	resistance	12	-1.295252996
FGF5	resistance	13	-1.286097429
CAV1	resistance	14	-1.224930027
ETV5	resistance	15	-1.210303567
ETV1	resistance	16	-1.200538301
COL5A1	resistance	17	-1.071335604
FYN	resistance	18	-1.054250578
CSF1	resistance	19	-1.044780122
WWTR1	resistance	20	-1.035773437
PRRX1	resistance	21	-1.033210748
CHN1	resistance	22	-1.015199431
IL7R	resistance	23	-1.011556928
SFRP1	resistance	24	-1.003292097
QKI	resistance	25	-0.9557667683
SMARCA1	resistance	26	-0.9464334557
CDH11	resistance	27	-0.9436550264
GREM1	resistance	28	-0.9338973597
PDGFRB	resistance	29	-0.9299263762
SGK1	resistance	30	-0.9106262983
