gene_symbol	direction	rank_in_direction	delta
HMGA2	sensitivity	1	0.7280286892
GSTP1	sensitivity	2	0.6626449067
TYMS	sensitivity	3	0.5802745639
MYC	sensitivity	4	0.5802114732
AURKB	sensitivity	5	0.5166037654
ETV4	sensitivity	6	0.4892348957
CCND2	sensitivity	7	0.4595808696
TERT	sensitivity	8	0.4417681069
WT1	sensitivity	9	0.4006465075
BLM	sensitivity	10	0.3976096972
GATA4	sensitivity	11	0.396880704
PSIP1	sensitivity	12	0.3934993839
HMGA1	sensitivity	13	0.3891312582
EPHA3	sensitivity	14	0.3805643267
RAD54L	sensitivity	15	0.3805305117
NPM1	sensitivity	16	0.374595194
NOTCH1	sensitivity	17	0.3723778002
HOXA3	sensitivity	18	0.3604456617
SH2B3	sensitivity	19	0.3367516891
BUB1B	sensitivity	20	0.3351502246
EGFL7	sensitivity	21	0.3315580606
CAD	sensitivity	22	0.3311616841
TP63	sensitivity	23	0.3311378002
FANCA	sensitivity	24	0.3222215836
SMO	sensitivity	25	0.3188491737
FANCE	sensitivity	26	0.3137858209
TRIP13	sensitivity	27	0.312146406
SLFN11	sensitivity	28	0.3096298147
LYN	sensitivity	29	0.3092744245
NUF2	sensitivity	30	0.3079411475
COL1A1	resistance	1	-1.161943074
EPAS1	resistance	2	-0.9819414839
NDRG1	resistance	3	-0.9558523257
MUC1	resistance	4	-0.8970900932
CDH1	resistance	5	-0.8666421186
GREM1	resistance	6	-0.8193194769
ELF3	resistance	7	-0.7804486892
PRSS8	resistance	8	-0.7710676503
MAL2	resistance	9	-0.7609700373
SCG5	resistance	10	-0.7546194451
EPCAM	resistance	11	-0.7457157566
ACKR3	resistance	12	-0.7290326416
HLA-B	resistance	13	-0.7026547259
TACSTD2	resistance	14	-0.6423948253
VTCN1	resistance	15	-0.6244942253
CREB3L1	resistance	16	-0.6231320517
DKK1	resistance	17	-0.6199552782
CDKN2B	resistance	18	-0.6116737676
GRB7	resistance	19	-0.6082314862
CDKN2A	resistance	20	-0.607013658
ABCC3	resistance	21	-0.5920416342
COL5A1	resistance	22	-0.5904162186
SDC4	resistance	23	-0.557256193
CDH11	resistance	24	-0.5430329159
FOLR1	resistance	25	-0.5376019365
NKX2-1	resistance	26	-0.5289457152
H2BC5	resistance	27	-0.5176757805
H2BC8	resistance	28	-0.5054926732
ASCL1	resistance	29	-0.4932016892
TLE1	resistance	30	-0.4905837443
