gene_symbol	direction	rank_in_direction	delta
SLFN11	sensitivity	1	1.25192174
ASCL1	sensitivity	2	0.9214781272
UCHL1	sensitivity	3	0.8996316789
MLLT11	sensitivity	4	0.8739301199
SOX2	sensitivity	5	0.7128453405
DLL3	sensitivity	6	0.7002477022
MYCN	sensitivity	7	0.6924611284
BCL11A	sensitivity	8	0.6771742764
GSTP1	sensitivity	9	0.6692438967
EPHA7	sensitivity	10	0.6647429885
NFIB	sensitivity	11	0.6574325377
PASK	sensitivity	12	0.6477374927
HOXD11	sensitivity	13	0.6457158644
BTG2	sensitivity	14	0.6444264669
SYK	sensitivity	15	0.5862753937
PSIP1	sensitivity	16	0.5852610966
PTCH1	sensitivity	17	0.5819563063
MYB	sensitivity	18	0.5701218561
PARP1	sensitivity	19	0.5573852139
SESN3	sensitivity	20	0.5472799116
HEY1	sensitivity	21	0.5460430876
SEPTIN5	sensitivity	22	0.542500742
PAX5	sensitivity	23	0.5335027647
BCL2	sensitivity	24	0.532273255
HOXD13	sensitivity	25	0.5282978448
TUSC3	sensitivity	26	0.5067683093
BCL7A	sensitivity	27	0.5057839438
CHN1	sensitivity	28	0.4990903861
GPHN	sensitivity	29	0.4924703769
ROBO1	sensitivity	30	0.4729322464
AXL	resistance	1	-1.539945886
CAV1	resistance	2	-1.509364597
DKK1	resistance	3	-1.481447496
FSTL1	resistance	4	-1.192787643
COL1A1	resistance	5	-1.10075439
ABCC3	resistance	6	-1.06504084
SDC4	resistance	7	-1.005064368
PLK2	resistance	8	-1.001854789
GADD45B	resistance	9	-0.9820764792
TGFBR2	resistance	10	-0.9685290907
YAP1	resistance	11	-0.9092592333
PPARG	resistance	12	-0.8878372032
WWTR1	resistance	13	-0.8855061871
ZFP36L1	resistance	14	-0.865141568
FOLR1	resistance	15	-0.8637230727
TACSTD2	resistance	16	-0.8620094125
RRAS	resistance	17	-0.8483911731
RUNX1	resistance	18	-0.816169691
ERRFI1	resistance	19	-0.8160605902
AJUBA	resistance	20	-0.8140694321
FSTL3	resistance	21	-0.7893437093
EPAS1	resistance	22	-0.7863240592
EGFR	resistance	23	-0.7578342977
ALDH1A3	resistance	24	-0.7557762109
COL5A1	resistance	25	-0.7518541273
INHBA	resistance	26	-0.7393352056
MET	resistance	27	-0.7368529562
CREB3L1	resistance	28	-0.7268788098
ELL2	resistance	29	-0.7076600269
DKK3	resistance	30	-0.6970900878
