gene_symbol	direction	rank_in_direction	delta
UCHL1	sensitivity	1	0.9407602814
TP63	sensitivity	2	0.8710660414
SYK	sensitivity	3	0.8454904267
BCL11A	sensitivity	4	0.8125265434
PTK7	sensitivity	5	0.7375874473
HOXA9	sensitivity	6	0.7123989046
NOTCH3	sensitivity	7	0.6845310682
MYCL	sensitivity	8	0.6792091584
CDKN2A	sensitivity	9	0.6773588716
HOXD11	sensitivity	10	0.6619782732
EPHA7	sensitivity	11	0.6235976834
MLLT11	sensitivity	12	0.6163951183
PIK3R3	sensitivity	13	0.5944724415
PTCH1	sensitivity	14	0.5908700299
ID3	sensitivity	15	0.5845971933
ROBO1	sensitivity	16	0.5821510817
MSI1	sensitivity	17	0.5714315208
PSIP1	sensitivity	18	0.5643208418
ARID1A	sensitivity	19	0.5281744689
SOX2	sensitivity	20	0.5187818022
HGF	sensitivity	21	0.515693229
SALL4	sensitivity	22	0.5149918376
SEPTIN6	sensitivity	23	0.5133071667
ASCL1	sensitivity	24	0.5117008177
GATA2	sensitivity	25	0.5073842488
PASK	sensitivity	26	0.50051001
MYB	sensitivity	27	0.5003345413
NFIB	sensitivity	28	0.5003039096
HOXD13	sensitivity	29	0.4876167107
BCL7A	sensitivity	30	0.4857022635
CAV1	resistance	1	-1.363020619
AXL	resistance	2	-1.259189507
PLK2	resistance	3	-1.120782072
DKK1	resistance	4	-1.073312104
WWTR1	resistance	5	-1.011114618
MET	resistance	6	-0.9656061037
TGFBR2	resistance	7	-0.961245539
HLA-B	resistance	8	-0.9314902446
MITF	resistance	9	-0.8861135084
GADD45B	resistance	10	-0.8788783601
ABCC3	resistance	11	-0.8643518048
ETS1	resistance	12	-0.8539377404
CD74	resistance	13	-0.8491422587
HNF1B	resistance	14	-0.8459105751
FSTL1	resistance	15	-0.8370114097
EPAS1	resistance	16	-0.8088210283
SGK1	resistance	17	-0.8031287639
ABCB1	resistance	18	-0.7849769874
RUNX1	resistance	19	-0.7701644658
SDC4	resistance	20	-0.7434580889
SOX10	resistance	21	-0.7337582149
CCND1	resistance	22	-0.7244078914
ZFP36L1	resistance	23	-0.7127851653
NDRG1	resistance	24	-0.6939839777
TNFRSF14	resistance	25	-0.6873595875
BCL2L1	resistance	26	-0.6779060621
RRAS	resistance	27	-0.6498849796
LMNA	resistance	28	-0.6496719117
DKK3	resistance	29	-0.6493104542
CD70	resistance	30	-0.6323190913
