gene_symbol	direction	rank_in_direction	delta
UCHL1	sensitivity	1	0.9190114067
FGFR1	sensitivity	2	0.8841048934
MLLT11	sensitivity	3	0.7840201445
PDGFRB	sensitivity	4	0.7637765939
HGF	sensitivity	5	0.7360597274
DDR2	sensitivity	6	0.6674049019
PDGFRA	sensitivity	7	0.6471798398
IGF2	sensitivity	8	0.6360677581
ADGRA2	sensitivity	9	0.6205184858
ID3	sensitivity	10	0.6153253238
TBX3	sensitivity	11	0.6072335193
ROBO1	sensitivity	12	0.60656939
COL1A1	sensitivity	13	0.5888346797
SEPTIN5	sensitivity	14	0.5794685221
GLI1	sensitivity	15	0.570485857
CDH11	sensitivity	16	0.5656582862
COL5A1	sensitivity	17	0.5585988531
CDKN2C	sensitivity	18	0.5517452064
PRRX1	sensitivity	19	0.5463185921
SLIT2	sensitivity	20	0.5438995814
EPHA7	sensitivity	21	0.5189063543
MYCN	sensitivity	22	0.5159298502
ALB	sensitivity	23	0.4851609668
TYMS	sensitivity	24	0.4676316267
AXIN2	sensitivity	25	0.4419117084
GREM1	sensitivity	26	0.4125993308
CHN1	sensitivity	27	0.4123813611
HOXD11	sensitivity	28	0.4110936603
FOXP1	sensitivity	29	0.4056109022
TET1	sensitivity	30	0.405256055
TACSTD2	resistance	1	-1.518678375
ALDH1A3	resistance	2	-1.294703614
ELF3	resistance	3	-1.246136872
CDH1	resistance	4	-1.157182073
PRSS8	resistance	5	-1.113727384
CD74	resistance	6	-1.079890494
MAL2	resistance	7	-1.054376188
ERBB3	resistance	8	-1.002780878
MST1R	resistance	9	-0.938755756
EPCAM	resistance	10	-0.9338671792
CAV1	resistance	11	-0.8351249454
ABCC3	resistance	12	-0.8329894036
DKK1	resistance	13	-0.8327882234
HLA-B	resistance	14	-0.8258790598
MET	resistance	15	-0.800109866
HLA-A	resistance	16	-0.7524729766
PLK2	resistance	17	-0.7332178937
BIRC3	resistance	18	-0.7000187572
KLF5	resistance	19	-0.6732023013
PTK6	resistance	20	-0.6725294788
TNFRSF14	resistance	21	-0.6680354732
MUC1	resistance	22	-0.653486429
SDC4	resistance	23	-0.6446981473
GRB7	resistance	24	-0.6235660796
DDR1	resistance	25	-0.6220968113
SOX10	resistance	26	-0.5818319516
SAMD9	resistance	27	-0.5583762062
TNFSF13	resistance	28	-0.5583254393
CBLC	resistance	29	-0.5514174728
MITF	resistance	30	-0.542292503
