gene_symbol	direction	rank_in_direction	delta
ETV4	sensitivity	1	0.5666975099
PAX8	sensitivity	2	0.5592494691
HMGA2	sensitivity	3	0.526272426
FGFR4	sensitivity	4	0.5129814231
TGFBR2	sensitivity	5	0.5129762465
ERBB3	sensitivity	6	0.4994326358
FOLR1	sensitivity	7	0.4477802179
EPCAM	sensitivity	8	0.4402607735
GSTP1	sensitivity	9	0.4175281279
ETV5	sensitivity	10	0.3879634129
SPRED1	sensitivity	11	0.3791929003
HNF1B	sensitivity	12	0.3713591471
YAP1	sensitivity	13	0.3670462798
CCND1	sensitivity	14	0.3519633191
VAV1	sensitivity	15	0.335247413
NFKB2	sensitivity	16	0.3205044649
MITF	sensitivity	17	0.3179144668
LATS2	sensitivity	18	0.3112784106
SOX10	sensitivity	19	0.3090106
SESN2	sensitivity	20	0.3073928553
CDH1	sensitivity	21	0.3034532423
MST1R	sensitivity	22	0.303211643
PIK3CD	sensitivity	23	0.302016854
GSTO1	sensitivity	24	0.2977615841
FOXO1	sensitivity	25	0.2925040789
HMGA1	sensitivity	26	0.2923555657
INPP5D	sensitivity	27	0.2916105509
APOBEC3B	sensitivity	28	0.2910140057
MET	sensitivity	29	0.281703025
STAT6	sensitivity	30	0.2804460184
UCHL1	resistance	1	-1.015561259
DKK3	resistance	2	-0.5889683479
CDKN2C	resistance	3	-0.5887881914
MLLT11	resistance	4	-0.4735567834
NDRG1	resistance	5	-0.4634159548
ACKR3	resistance	6	-0.4578955397
ELN	resistance	7	-0.4482371107
RELN	resistance	8	-0.4399531824
SCG5	resistance	9	-0.4155788785
SESN3	resistance	10	-0.4123487317
LIFR	resistance	11	-0.412054729
PBX1	resistance	12	-0.410258052
ID3	resistance	13	-0.4013242318
COL5A1	resistance	14	-0.3938241272
TP63	resistance	15	-0.3870495402
SETBP1	resistance	16	-0.363677704
CREB3L1	resistance	17	-0.3586835807
SAMD9	resistance	18	-0.348098474
FNBP1	resistance	19	-0.3462870896
CDH2	resistance	20	-0.328845125
AKT3	resistance	21	-0.3276823186
SLIT3	resistance	22	-0.3165440729
DPYD	resistance	23	-0.3138343533
BAALC	resistance	24	-0.3096291847
GREM1	resistance	25	-0.3064067766
PTPN13	resistance	26	-0.3041470791
TIPARP	resistance	27	-0.301825208
PAX5	resistance	28	-0.3015529435
SAMD9L	resistance	29	-0.2981618463
HOXD11	resistance	30	-0.2944475415
