gene_symbol	direction	rank_in_direction	delta
ROBO1	sensitivity	1	0.7781361041
CHN1	sensitivity	2	0.6308241093
UCHL1	sensitivity	3	0.6306537411
FGFR1	sensitivity	4	0.5666765631
CDKN2C	sensitivity	5	0.5659640743
DDR2	sensitivity	6	0.558252997
ETV1	sensitivity	7	0.533555631
MLLT11	sensitivity	8	0.5278275784
PDGFRA	sensitivity	9	0.4758818174
ETV5	sensitivity	10	0.416730791
PIK3R3	sensitivity	11	0.4084966479
LEF1	sensitivity	12	0.3993195427
SNCAIP	sensitivity	13	0.3911870638
EPHA7	sensitivity	14	0.3843768413
GATA2	sensitivity	15	0.3814501163
FYN	sensitivity	16	0.3763802307
FGF5	sensitivity	17	0.3756002749
PTCH1	sensitivity	18	0.3751188839
PBRM1	sensitivity	19	0.3704546843
PSIP1	sensitivity	20	0.3617089444
AKT3	sensitivity	21	0.3561984173
ARID1A	sensitivity	22	0.3550348198
FLI1	sensitivity	23	0.344453927
HMGA2	sensitivity	24	0.3383597727
HDAC2	sensitivity	25	0.3336154682
PRKD1	sensitivity	26	0.3333001586
RAD54L	sensitivity	27	0.3332883888
BAALC	sensitivity	28	0.3278228594
TCF12	sensitivity	29	0.3258364426
TCF3	sensitivity	30	0.3224484064
ELF3	resistance	1	-0.9559882191
TACSTD2	resistance	2	-0.9491501434
PRSS8	resistance	3	-0.875013889
MAL2	resistance	4	-0.8301058089
PAX8	resistance	5	-0.7806649847
KLF5	resistance	6	-0.7611606247
EPCAM	resistance	7	-0.7370006598
CDH1	resistance	8	-0.736775779
FOLR1	resistance	9	-0.6831873529
CAV1	resistance	10	-0.678892807
GRB7	resistance	11	-0.6563861326
MET	resistance	12	-0.654377397
ERBB3	resistance	13	-0.6488836021
VAV1	resistance	14	-0.6453124206
VTCN1	resistance	15	-0.6194273713
HLA-B	resistance	16	-0.6167741309
SLC34A2	resistance	17	-0.5984093319
ALDH1A3	resistance	18	-0.5697127448
ABCC3	resistance	19	-0.5660511409
PLK2	resistance	20	-0.5566468572
MUC1	resistance	21	-0.5462777012
SDC4	resistance	22	-0.544929406
CBLC	resistance	23	-0.544740387
CARD11	resistance	24	-0.5431889499
MST1R	resistance	25	-0.5229616368
DKK3	resistance	26	-0.5165399503
PDGFB	resistance	27	-0.4954555369
BIRC3	resistance	28	-0.4927756068
INHBA	resistance	29	-0.4780422116
DDR1	resistance	30	-0.473877045
