gene_symbol	direction	rank_in_direction	delta
BCL11A	sensitivity	1	0.9693017679
ROBO1	sensitivity	2	0.809586278
MLLT11	sensitivity	3	0.7971686625
UCHL1	sensitivity	4	0.777366627
ID3	sensitivity	5	0.725068039
MSI1	sensitivity	6	0.6910552228
SEPTIN5	sensitivity	7	0.6654902533
MYCN	sensitivity	8	0.6623166085
BCL7A	sensitivity	9	0.6432728205
DLL3	sensitivity	10	0.5967545885
HGF	sensitivity	11	0.5946961631
TUSC3	sensitivity	12	0.590780464
GATA2	sensitivity	13	0.5841294443
PSIP1	sensitivity	14	0.5774506402
FLT4	sensitivity	15	0.5668576938
SMAD4	sensitivity	16	0.5611148652
PTCH1	sensitivity	17	0.5532430052
EPHA7	sensitivity	18	0.5498806704
DUSP2	sensitivity	19	0.5479574546
HOXA9	sensitivity	20	0.5465134773
CHN1	sensitivity	21	0.5456694081
MYB	sensitivity	22	0.5435973566
BRSK1	sensitivity	23	0.5249134409
MTHFD2	sensitivity	24	0.5193616032
CCNB1IP1	sensitivity	25	0.5179115843
BUB1B	sensitivity	26	0.5127216221
PTK7	sensitivity	27	0.5119478028
ARID1A	sensitivity	28	0.509506205
NFIB	sensitivity	29	0.5048875171
CAD	sensitivity	30	0.5046405771
ABCC3	resistance	1	-1.556528566
CAV1	resistance	2	-1.514118349
DKK1	resistance	3	-1.350915838
TACSTD2	resistance	4	-1.27212856
ELF3	resistance	5	-1.270349636
PLK2	resistance	6	-1.17763941
ALDH1A3	resistance	7	-1.157307609
AXL	resistance	8	-1.097733736
EPAS1	resistance	9	-1.065232909
SDC4	resistance	10	-1.052815823
CD74	resistance	11	-1.03230877
MET	resistance	12	-1.017293867
HLA-B	resistance	13	-1.016758143
MUC1	resistance	14	-1.001889768
CDH1	resistance	15	-0.938647871
PPARG	resistance	16	-0.9224665828
RUNX1	resistance	17	-0.8815896685
BCL2L1	resistance	18	-0.8707319143
MAL2	resistance	19	-0.8444904816
NQO1	resistance	20	-0.8364470997
TGFBR2	resistance	21	-0.7863009723
WWTR1	resistance	22	-0.7765227421
DUSP4	resistance	23	-0.7755639178
CD22	resistance	24	-0.7749973261
TNFRSF14	resistance	25	-0.7594855705
MST1R	resistance	26	-0.7535325377
ERBB3	resistance	27	-0.7422502755
SAMD9L	resistance	28	-0.7265693282
ZFP36L1	resistance	29	-0.7222598933
LMNA	resistance	30	-0.7174820442
