gene_symbol	direction	rank_in_direction	delta
SEPTIN5	sensitivity	1	0.8979319018
IGF2	sensitivity	2	0.8970539582
FGFR1	sensitivity	3	0.8220178384
TLE2	sensitivity	4	0.8155816569
NOTCH3	sensitivity	5	0.8105774777
FOXA1	sensitivity	6	0.7035532726
PTPRS	sensitivity	7	0.6993768403
PBX1	sensitivity	8	0.6810576698
GATA2	sensitivity	9	0.6730396692
GPC3	sensitivity	10	0.6439762263
PIK3R3	sensitivity	11	0.6305354211
HOXC13	sensitivity	12	0.6289715784
DNMT3A	sensitivity	13	0.6255496159
SIX1	sensitivity	14	0.6219526384
CDKN2A	sensitivity	15	0.6135092521
SLIT2	sensitivity	16	0.5974827187
BRSK1	sensitivity	17	0.5900147532
ZNF331	sensitivity	18	0.5892839085
SMO	sensitivity	19	0.5805341268
ID3	sensitivity	20	0.5793328011
GLI1	sensitivity	21	0.567810224
DKK2	sensitivity	22	0.5549506476
TLE3	sensitivity	23	0.5471287392
VTCN1	sensitivity	24	0.5469501057
PTK7	sensitivity	25	0.5177634667
PGBD5	sensitivity	26	0.5156368814
TUSC3	sensitivity	27	0.4837096259
DUSP9	sensitivity	28	0.4771414714
H1-2	sensitivity	29	0.4769269434
MSI1	sensitivity	30	0.4724510075
CAV1	resistance	1	-0.9857827638
GSTP1	resistance	2	-0.939769763
PPARG	resistance	3	-0.9112755601
MET	resistance	4	-0.9015214772
CD70	resistance	5	-0.8754243915
CD74	resistance	6	-0.8447254153
HLA-A	resistance	7	-0.764261988
IRS2	resistance	8	-0.6788501977
TNFRSF14	resistance	9	-0.633398802
ABCC3	resistance	10	-0.6147285714
FAT1	resistance	11	-0.5968900404
HNF1B	resistance	12	-0.5586797949
CDX2	resistance	13	-0.5472350403
NQO1	resistance	14	-0.536388604
AXL	resistance	15	-0.5275263095
HFE	resistance	16	-0.5231862935
GAS7	resistance	17	-0.5194330956
ERBB3	resistance	18	-0.4870286052
KLF5	resistance	19	-0.4681933001
SOX10	resistance	20	-0.4678231382
MST1R	resistance	21	-0.4558706543
ALDH1A3	resistance	22	-0.4534824129
STAT6	resistance	23	-0.4515468853
CDK6	resistance	24	-0.4269927461
ABCB1	resistance	25	-0.4256190967
SH2B3	resistance	26	-0.424832417
FAS	resistance	27	-0.4152433477
LMNA	resistance	28	-0.404963298
KLF4	resistance	29	-0.3959457524
HLA-B	resistance	30	-0.3772896131
