gene_symbol	direction	rank_in_direction	mean_rank
ID3	sensitivity	1	2.5
ROBO1	sensitivity	2	2.5
SLFN11	sensitivity	3	2.5
SEPTIN5	sensitivity	4	5.5
TUSC3	sensitivity	5	6
MLLT11	sensitivity	6	8.5
DDR2	sensitivity	7	9
GATA2	sensitivity	8	12
PTK7	sensitivity	9	12.5
HOXD13	sensitivity	10	13.5
SMO	sensitivity	11	13.5
HEY1	sensitivity	12	14
ADGRA2	sensitivity	13	16.5
EPHA7	sensitivity	14	16.5
BCL11A	sensitivity	15	17.5
PSIP1	sensitivity	16	20
MYCN	sensitivity	17	20.5
BRSK1	sensitivity	18	26
ABCC3	resistance	1	1.5
ELF3	resistance	2	3
MAL2	resistance	3	4.5
CAV1	resistance	4	5
MET	resistance	5	6
PPARG	resistance	6	7
EPCAM	resistance	7	7.5
HTATIP2	resistance	8	9
CDH1	resistance	9	10.5
TACSTD2	resistance	10	11.5
PLK2	resistance	11	12.5
SDC4	resistance	12	14
HNF1B	resistance	13	15
TGFBR2	resistance	14	17
KLF5	resistance	15	19
FOLR1	resistance	16	20
BCL2L1	resistance	17	21.5
CD74	resistance	18	21.5
PAX8	resistance	19	21.5
MST1R	resistance	20	23.5
EPAS1	resistance	21	24.5
RUNX1	resistance	22	25.5
EGFR	resistance	23	27
