gene_symbol	direction	rank_in_direction	delta
SLFN11	sensitivity	1	2.253705233
UCHL1	sensitivity	2	1.167213323
MLLT11	sensitivity	3	0.8830806042
ROBO1	sensitivity	4	0.7742904945
EPHA7	sensitivity	5	0.7338375526
BCL11A	sensitivity	6	0.70577082
ASCL1	sensitivity	7	0.6943476263
HOXD11	sensitivity	8	0.6840273783
HOXD13	sensitivity	9	0.679343247
CDKN2C	sensitivity	10	0.6562868454
PSIP1	sensitivity	11	0.6075816044
GATA2	sensitivity	12	0.6012294299
DLL3	sensitivity	13	0.587455725
MYB	sensitivity	14	0.5712813631
GPHN	sensitivity	15	0.5591869567
HGF	sensitivity	16	0.5477641548
PTK7	sensitivity	17	0.5331644675
PIK3R3	sensitivity	18	0.5328987328
PAX5	sensitivity	19	0.5310630834
DDR2	sensitivity	20	0.5296693521
NFIB	sensitivity	21	0.5281707729
RUNX1T1	sensitivity	22	0.526376445
SEPTIN5	sensitivity	23	0.5248891334
NKX2-1	sensitivity	24	0.5235363473
CHN1	sensitivity	25	0.5165093212
FOXN4	sensitivity	26	0.5106001546
HEY1	sensitivity	27	0.4953246508
PARP1	sensitivity	28	0.4881992355
BCL7A	sensitivity	29	0.4878797877
PASK	sensitivity	30	0.4818098573
ABCC3	resistance	1	-1.512534194
CAV1	resistance	2	-1.436384399
PLK2	resistance	3	-1.120446011
MET	resistance	4	-1.050411945
FOLR1	resistance	5	-1.042279023
DKK1	resistance	6	-1.015413118
TGFBR2	resistance	7	-0.9987184946
EPAS1	resistance	8	-0.9267131937
AXL	resistance	9	-0.906968741
TACSTD2	resistance	10	-0.8983966244
WWTR1	resistance	11	-0.878202605
FSTL1	resistance	12	-0.87280032
SDC4	resistance	13	-0.8311260118
MITF	resistance	14	-0.7811669979
GADD45B	resistance	15	-0.7737630766
PDGFB	resistance	16	-0.7728421493
RRAS	resistance	17	-0.7472095394
EGFR	resistance	18	-0.7432448575
ZFP36L1	resistance	19	-0.7352310213
HTATIP2	resistance	20	-0.7346677102
PAX8	resistance	21	-0.7273598086
CD74	resistance	22	-0.7273554802
HNF1B	resistance	23	-0.7203887867
AJUBA	resistance	24	-0.7175447639
RUNX1	resistance	25	-0.7011155613
ELF3	resistance	26	-0.7005305813
MAL2	resistance	27	-0.6858357744
FSTL3	resistance	28	-0.6738555707
NQO1	resistance	29	-0.6465405498
YAP1	resistance	30	-0.6355196374
