gene_symbol	direction	rank_in_direction	delta
CD74	sensitivity	1	2.208161493
ETV4	sensitivity	2	2.044408241
ERBB3	sensitivity	3	1.760121588
TNFRSF14	sensitivity	4	1.671859084
HMGA2	sensitivity	5	1.602633199
SOX10	sensitivity	6	1.580445884
DUSP4	sensitivity	7	1.518051768
DKK1	sensitivity	8	1.485667195
ALDH1A3	sensitivity	9	1.462570277
CD22	sensitivity	10	1.341349767
TGFBR2	sensitivity	11	1.272027224
INPP4B	sensitivity	12	1.224936521
CCND1	sensitivity	13	1.22136451
RAC2	sensitivity	14	1.201205383
GAS7	sensitivity	15	1.187547124
MST1R	sensitivity	16	1.097871234
ETV5	sensitivity	17	1.095953804
GSTP1	sensitivity	18	1.03250731
HMGA1	sensitivity	19	0.9374111297
KLF5	sensitivity	20	0.9312819971
RNF43	sensitivity	21	0.929922427
TACSTD2	sensitivity	22	0.9057992277
CDH1	sensitivity	23	0.9057373802
PPARG	sensitivity	24	0.9045014528
STAT6	sensitivity	25	0.8869863715
PTK6	sensitivity	26	0.8747168261
GSTO1	sensitivity	27	0.8666449668
AIM2	sensitivity	28	0.85793076
SPRED1	sensitivity	29	0.8309555636
MITF	sensitivity	30	0.8280783465
UCHL1	resistance	1	-2.631581258
FGFR1	resistance	2	-1.522809435
COL1A1	resistance	3	-1.50675278
FSTL1	resistance	4	-1.411231393
SEPTIN5	resistance	5	-1.375979353
COL5A1	resistance	6	-1.283452079
PBX1	resistance	7	-1.274004105
TUSC3	resistance	8	-1.211386708
ACKR3	resistance	9	-1.210127125
CDKN2C	resistance	10	-1.205642552
CDH2	resistance	11	-1.133983582
LIFR	resistance	12	-1.123163137
CHN1	resistance	13	-1.114929378
MLLT11	resistance	14	-1.113119884
NFIB	resistance	15	-1.040314501
ID3	resistance	16	-1.0363894
ZNF331	resistance	17	-1.004642313
SIX1	resistance	18	-0.9907501273
CDKN2A	resistance	19	-0.9818535383
SLFN11	resistance	20	-0.9764655944
HOXD11	resistance	21	-0.9696147226
IDH2	resistance	22	-0.9442845424
TLE2	resistance	23	-0.9392183717
GREM1	resistance	24	-0.9303029416
SLIT2	resistance	25	-0.929242507
CDH11	resistance	26	-0.927015017
NRG1	resistance	27	-0.9218143819
PTK7	resistance	28	-0.9184458199
PSIP1	resistance	29	-0.9016700726
ALDH1L2	resistance	30	-0.8987845622
