gene_symbol	direction	rank_in_direction	delta
BCL11A	sensitivity	1	1.149979215
ROBO1	sensitivity	2	1.133513543
MLLT11	sensitivity	3	1.035210004
UCHL1	sensitivity	4	1.007486836
EPHA7	sensitivity	5	0.9012333281
HGF	sensitivity	6	0.8808686683
MSI1	sensitivity	7	0.849482699
ASCL1	sensitivity	8	0.8476991959
HOXD13	sensitivity	9	0.7981864663
DLL3	sensitivity	10	0.7825748308
SEPTIN5	sensitivity	11	0.775747447
MYCN	sensitivity	12	0.7441191324
BCL7A	sensitivity	13	0.7110604364
HOXD11	sensitivity	14	0.7073149136
ID3	sensitivity	15	0.6902510344
BRSK1	sensitivity	16	0.6899899241
MYB	sensitivity	17	0.6830600679
MYCL	sensitivity	18	0.676492611
PSIP1	sensitivity	19	0.6697716265
SOX2	sensitivity	20	0.6570553439
HEY1	sensitivity	21	0.6480747061
CCNB1IP1	sensitivity	22	0.6458179997
PTCH1	sensitivity	23	0.643062914
PTK7	sensitivity	24	0.6294861032
RUNX1T1	sensitivity	25	0.6165911722
PIK3R3	sensitivity	26	0.6081828166
DDR2	sensitivity	27	0.5979074789
SALL4	sensitivity	28	0.5921398036
CCND2	sensitivity	29	0.5833800145
PARP1	sensitivity	30	0.5787394203
CAV1	resistance	1	-2.156170153
ABCC3	resistance	2	-1.95604972
PLK2	resistance	3	-1.825370316
AXL	resistance	4	-1.804572959
HLA-B	resistance	5	-1.736928511
ALDH1A3	resistance	6	-1.548074555
MET	resistance	7	-1.435516968
EPAS1	resistance	8	-1.412019421
ELF3	resistance	9	-1.396366483
DKK1	resistance	10	-1.382258194
SDC4	resistance	11	-1.36587564
TACSTD2	resistance	12	-1.348599882
BIRC3	resistance	13	-1.2969388
CD74	resistance	14	-1.289523624
GADD45B	resistance	15	-1.253536211
TGFBR2	resistance	16	-1.242592101
WWTR1	resistance	17	-1.240198167
ZFP36L1	resistance	18	-1.198881264
PPARG	resistance	19	-1.163131703
RUNX1	resistance	20	-1.16262064
FOLR1	resistance	21	-1.157757601
HLA-C	resistance	22	-1.142401492
RRAS	resistance	23	-1.130842923
SMAD3	resistance	24	-1.046942062
EGFR	resistance	25	-1.018048636
BCL2L1	resistance	26	-1.015965094
MAL2	resistance	27	-1.012794192
MUC1	resistance	28	-0.9968239296
FSTL1	resistance	29	-0.9845541328
CDH1	resistance	30	-0.9559806907
