gene_symbol	direction	rank_in_direction	delta
MYB	sensitivity	1	1.041168401
MYCN	sensitivity	2	1.036717065
AXIN2	sensitivity	3	0.9877794241
FGFR4	sensitivity	4	0.9494006785
BTG2	sensitivity	5	0.9411606626
EPCAM	sensitivity	6	0.8231245607
CXCR4	sensitivity	7	0.8149345535
ASCL1	sensitivity	8	0.7944642629
CDKN2A	sensitivity	9	0.7703470468
BCL11A	sensitivity	10	0.7637879393
LGR5	sensitivity	11	0.7277310646
RET	sensitivity	12	0.6998225744
DNMT3A	sensitivity	13	0.6923286892
EPHA7	sensitivity	14	0.6837340384
BCL7A	sensitivity	15	0.6787742956
MYCL	sensitivity	16	0.6746173317
PBX1	sensitivity	17	0.6596292412
DUSP2	sensitivity	18	0.6418345497
MSI1	sensitivity	19	0.6385812511
GRB7	sensitivity	20	0.637519921
CACNA1D	sensitivity	21	0.6323899115
ONECUT2	sensitivity	22	0.6314112704
DLL3	sensitivity	23	0.6291054534
IDH2	sensitivity	24	0.6272432791
GATA2	sensitivity	25	0.6145357281
FOXA1	sensitivity	26	0.5829283001
FEV	sensitivity	27	0.5685741352
GAB2	sensitivity	28	0.5678228507
MSI2	sensitivity	29	0.5477544405
BCL2	sensitivity	30	0.5408359751
CAV1	resistance	1	-2.699241296
AXL	resistance	2	-1.960718038
DKK1	resistance	3	-1.754135749
DKK3	resistance	4	-1.491478252
WWTR1	resistance	5	-1.462029305
CD70	resistance	6	-1.442156161
FSTL1	resistance	7	-1.437599269
MSN	resistance	8	-1.393127518
ALDH1A3	resistance	9	-1.345966216
EGFR	resistance	10	-1.309920915
ETS1	resistance	11	-1.281758175
HLA-B	resistance	12	-1.275976153
PLK2	resistance	13	-1.275547243
NRG1	resistance	14	-1.19291822
SDC4	resistance	15	-1.178471438
FGF2	resistance	16	-1.154010767
ABCC3	resistance	17	-1.115608018
ELL2	resistance	18	-1.086264006
CSF1	resistance	19	-1.071639833
CD74	resistance	20	-1.069706953
TGFBR2	resistance	21	-1.046221862
GADD45B	resistance	22	-1.037484794
IL7R	resistance	23	-1.037027911
COL5A1	resistance	24	-1.024308037
BIRC3	resistance	25	-1.011057339
SAMD9L	resistance	26	-0.9990299002
EPAS1	resistance	27	-0.9959557841
APOBEC3B	resistance	28	-0.9773196031
HFE	resistance	29	-0.9696949374
SAMD9	resistance	30	-0.9578040306
