gene_symbol	direction	rank_in_direction	rho
PDGFRB	sensitivity	1	-0.1745787681
XPO1	sensitivity	2	-0.1726221493
ABL1	sensitivity	3	-0.1591857023
ADGRA2	sensitivity	4	-0.1586719802
ANKRD26	sensitivity	5	-0.1583265072
USP1	sensitivity	6	-0.1574555101
RANBP2	sensitivity	7	-0.1562428143
DOT1L	sensitivity	8	-0.1550406403
UBTF	sensitivity	9	-0.1533872497
RIOK2	sensitivity	10	-0.1488156943
GLI1	sensitivity	11	-0.1476078708
RSPO2	sensitivity	12	-0.1466937522
PDGFRA	sensitivity	13	-0.1447619296
LTK	sensitivity	14	-0.1433648567
RAF1	sensitivity	15	-0.1416838208
GNA11	sensitivity	16	-0.1412380123
JAK2	sensitivity	17	-0.1391859567
NTRK3	sensitivity	18	-0.1383997641
PPM1D	sensitivity	19	-0.137085373
HDAC2	sensitivity	20	-0.1370692476
VAV1	resistance	1	0.1663547266
TNFSF13	resistance	2	0.154076076
GRB7	resistance	3	0.149851008
TRIB3	resistance	4	0.1467702303
ERBB3	resistance	5	0.1327362666
MAP3K21	resistance	6	0.1180311559
XBP1	resistance	7	0.1179883343
FGFR4	resistance	8	0.112810506
TACSTD2	resistance	9	0.1079353459
SQSTM1	resistance	10	0.1058157113
WWP1	resistance	11	0.1035890298
ICOSLG	resistance	12	0.1032893975
MST1R	resistance	13	0.1024667274
PIK3CB	resistance	14	0.1019509843
PDGFB	resistance	15	0.1010057076
MPL	resistance	16	0.09703473148
TLX3	resistance	17	0.09220836025
ADHFE1	resistance	18	0.08742992571
SYK	resistance	19	0.07730064904
ALDH1A3	resistance	20	0.07622477651
