gene_symbol	direction	rank_in_direction	rho
CHD4	sensitivity	1	-0.1554455384
DNMT1	sensitivity	2	-0.153693433
EWSR1	sensitivity	3	-0.14984634
APEX1	sensitivity	4	-0.1494298447
PRCC	sensitivity	5	-0.1481848786
PPM1D	sensitivity	6	-0.147160965
UBTF	sensitivity	7	-0.1438110746
INSR	sensitivity	8	-0.1417457801
AKT2	sensitivity	9	-0.1393019855
DDX5	sensitivity	10	-0.1360501797
DOT1L	sensitivity	11	-0.132637706
TOP2A	sensitivity	12	-0.1306957923
FUS	sensitivity	13	-0.1305926421
H3-3A	sensitivity	14	-0.1288676565
PGBD5	sensitivity	15	-0.1278369583
CRTC1	sensitivity	16	-0.1271429817
SETD1A	sensitivity	17	-0.1270344023
BRD4	sensitivity	18	-0.1262455179
XPO1	sensitivity	19	-0.1226748314
BRD2	sensitivity	20	-0.1225616788
TRIB3	resistance	1	0.1122908822
EGFR	resistance	2	0.1050270018
CD274	resistance	3	0.09743109819
PDCD1LG2	resistance	4	0.09581267967
IQGAP1	resistance	5	0.0936329289
HFE	resistance	6	0.09245187531
RRAS2	resistance	7	0.09190482531
GSTO1	resistance	8	0.08545884754
APOBEC3B	resistance	9	0.08033688538
ABCC3	resistance	10	0.08003773805
RRAS	resistance	11	0.07968487248
AXL	resistance	12	0.07782868952
XBP1	resistance	13	0.06974140171
RPS6KA4	resistance	14	0.06710132444
SQSTM1	resistance	15	0.06221329199
CCND3	resistance	16	0.06215465211
NQO1	resistance	17	0.06025214505
WWTR1	resistance	18	0.05983303555
MYO5A	resistance	19	0.05976184665
MAP3K14	resistance	20	0.05749968635
