gene_symbol	direction	rank_in_direction	rho
MAP2K2	sensitivity	1	-0.1371512954
HSD3B1	sensitivity	2	-0.1322298188
NFE2	sensitivity	3	-0.1294030311
MGAM	sensitivity	4	-0.1242655828
ROS1	sensitivity	5	-0.123634544
RSPO2	sensitivity	6	-0.1235734275
DCUN1D1	sensitivity	7	-0.1230922222
LTK	sensitivity	8	-0.1225512963
NR4A3	sensitivity	9	-0.1196532483
FLT1	sensitivity	10	-0.11874341
MEF2B	sensitivity	11	-0.1162381035
USP6	sensitivity	12	-0.1127506362
FURIN	sensitivity	13	-0.1088967327
CARD11	sensitivity	14	-0.1085900224
FRS2	sensitivity	15	-0.1083911375
FOLR1	sensitivity	16	-0.1073654876
CCND2	sensitivity	17	-0.1064155941
PLCG2	sensitivity	18	-0.1048544642
PRKCI	sensitivity	19	-0.1042528882
ICOSLG	sensitivity	20	-0.1009137065
PDK1	resistance	1	0.146193418
NSD2	resistance	2	0.1128492442
NUP214	resistance	3	0.1072456678
BIRC5	resistance	4	0.1047485011
AURKB	resistance	5	0.1014381792
MTHFD2	resistance	6	0.09909595016
TYMS	resistance	7	0.09618615085
BCL2	resistance	8	0.09160053223
PHF19	resistance	9	0.09156608013
IL3	resistance	10	0.08912922727
KIT	resistance	11	0.08576481794
BUB1B	resistance	12	0.08511167442
TCL1A	resistance	13	0.08495304232
CREB1	resistance	14	0.0847189953
EMSY	resistance	15	0.08456761194
AURKA	resistance	16	0.08218353192
RHEB	resistance	17	0.08194552301
RPTOR	resistance	18	0.07937988084
TOP2A	resistance	19	0.07858880158
SETBP1	resistance	20	0.0778517549
