gene_symbol	direction	rank_in_direction	rho
HMGA2	sensitivity	1	-0.2831947517
GSTO1	sensitivity	2	-0.2559347683
TIGAR	sensitivity	3	-0.2374094358
WWTR1	sensitivity	4	-0.2279955247
ETV1	sensitivity	5	-0.2247954921
ETV5	sensitivity	6	-0.2210183653
ETV4	sensitivity	7	-0.2161953618
ABL2	sensitivity	8	-0.1906852185
IRF4	sensitivity	9	-0.1895223586
PIK3CG	sensitivity	10	-0.1875196005
TYMS	sensitivity	11	-0.1833304144
CD70	sensitivity	12	-0.1819972123
HMGA1	sensitivity	13	-0.1815314588
IRS2	sensitivity	14	-0.1798665049
AKT3	sensitivity	15	-0.1705270532
PIK3CD	sensitivity	16	-0.170465501
PDK1	sensitivity	17	-0.1695383077
LMNA	sensitivity	18	-0.1674366922
SGK1	sensitivity	19	-0.1673144381
MYO5A	sensitivity	20	-0.1672717596
H1-4	resistance	1	0.2115112938
BRD3	resistance	2	0.2074824993
VAV2	resistance	3	0.2059066277
FGFR2	resistance	4	0.1920665716
YY1	resistance	5	0.187020824
FGFR3	resistance	6	0.1869774654
TBL1XR1	resistance	7	0.1807853513
PIK3CA	resistance	8	0.1752839136
PRKCI	resistance	9	0.17460786
SET	resistance	10	0.1722074954
MYB	resistance	11	0.166267031
GRB7	resistance	12	0.1656261743
FRS2	resistance	13	0.1576060287
EIF4A2	resistance	14	0.1531630503
PTK7	resistance	15	0.1514615239
TACSTD2	resistance	16	0.151090639
ERG	resistance	17	0.150141913
MAP3K13	resistance	18	0.1480814257
MYCL	resistance	19	0.1472188452
DCUN1D1	resistance	20	0.1471275371
