gene_symbol	direction	rank_in_direction	rho
CAD	sensitivity	1	-0.1029178481
POU2F2	sensitivity	2	-0.1011757687
APEX1	sensitivity	3	-0.09701261213
EWSR1	sensitivity	4	-0.0929122699
MYC	sensitivity	5	-0.09181886444
TPM3	sensitivity	6	-0.08076303785
HDAC1	sensitivity	7	-0.07726988524
LTK	sensitivity	8	-0.07479757804
PDGFRB	sensitivity	9	-0.07370367563
RAC2	sensitivity	10	-0.07317846751
DOT1L	sensitivity	11	-0.06946957687
CDK4	sensitivity	12	-0.06743101454
BCL9	sensitivity	13	-0.06698853143
PDCD1	sensitivity	14	-0.06657493831
UBTF	sensitivity	15	-0.06598231038
CD74	sensitivity	16	-0.06560369166
HMGA2	sensitivity	17	-0.06543666792
PRCC	sensitivity	18	-0.06528659543
DNMT1	sensitivity	19	-0.06523618594
IKBKE	sensitivity	20	-0.0647677105
CLIP1	resistance	1	0.1321109512
SQSTM1	resistance	2	0.1163015641
WWP1	resistance	3	0.1005835569
NT5C2	resistance	4	0.09902867737
PIK3CB	resistance	5	0.09796206552
TFE3	resistance	6	0.08538300553
FLT3	resistance	7	0.08374967765
TRIB3	resistance	8	0.08374339178
UBE2A	resistance	9	0.08290652693
SHOC2	resistance	10	0.0827627879
ICOSLG	resistance	11	0.07897587087
CRLF2	resistance	12	0.07853743763
H3C3	resistance	13	0.07849817697
FLT4	resistance	14	0.07659048683
SRC	resistance	15	0.07495127324
ID1	resistance	16	0.07455475984
DDX4	resistance	17	0.0731441195
RIT1	resistance	18	0.07252039941
POU3F4	resistance	19	0.07089470778
MET	resistance	20	0.07042828438
